layer,head,importance_signed,abs_importance,perturbation_l2,cell_abs,cell_signed,abs_imp_median,pert_median
4,2,-0.003177983760833669,0.003177983760833669,0.4434303939342499,D,D,0.00801475018262876,1.1149335503578186
4,3,0.005782380700111389,0.005782380700111389,0.9795711040496826,D,B,0.00801475018262876,1.1149335503578186
4,4,0.0002822852134705123,0.0002822852134705123,0.6693148016929626,D,D,0.00801475018262876,1.1149335503578186
4,5,-0.0006446617841719959,0.0006446617841719959,0.4850631356239319,D,D,0.00801475018262876,1.1149335503578186
4,6,0.007501912713050896,0.007501912713050896,1.7837921380996704,C,A,0.00801475018262876,1.1149335503578186
4,7,-0.012792704701423574,0.012792704701423574,1.782354474067688,A,C,0.00801475018262876,1.1149335503578186
4,8,-0.01588161170482638,0.01588161170482638,0.9397160410881042,B,D,0.00801475018262876,1.1149335503578186
4,9,0.001679314374923857,0.001679314374923857,1.0080667734146118,D,D,0.00801475018262876,1.1149335503578186
4,10,-0.0009172064065932073,0.0009172064065932073,0.22918938100337982,D,D,0.00801475018262876,1.1149335503578186
4,11,0.06467044651508336,0.06467044651508336,2.335132360458374,A,A,0.00801475018262876,1.1149335503578186
5,0,0.0007964891195297863,0.0007964891195297863,1.1136890649795532,D,D,0.00801475018262876,1.1149335503578186
5,1,1.0050602382421496,1.0050602382421496,6.366524696350098,A,A,0.00801475018262876,1.1149335503578186
5,2,0.003798957467079145,0.003798957467079145,1.1451325416564941,C,C,0.00801475018262876,1.1149335503578186
5,3,0.0014519536495209984,0.0014519536495209984,0.9947991371154785,D,D,0.00801475018262876,1.1149335503578186
5,4,0.0019246828556060969,0.0019246828556060969,0.8128021359443665,D,D,0.00801475018262876,1.1149335503578186
5,5,0.02716404378414161,0.02716404378414161,3.1036670207977295,A,A,0.00801475018262876,1.1149335503578186
5,6,0.003354040384292656,0.003354040384292656,1.1859002113342285,C,C,0.00801475018262876,1.1149335503578186
5,7,0.0002959293127060558,0.0002959293127060558,0.16260215640068054,D,D,0.00801475018262876,1.1149335503578186
5,8,-0.015610172152519253,0.015610172152519253,0.710032045841217,B,D,0.00801475018262876,1.1149335503578186
5,9,0.07929502308368686,0.07929502308368686,2.259007692337036,A,A,0.00801475018262876,1.1149335503578186
5,10,-0.003046577572822562,0.003046577572822562,0.6307522058486938,D,D,0.00801475018262876,1.1149335503578186
5,11,0.005392003655433797,0.005392003655433797,0.6725594997406006,D,B,0.00801475018262876,1.1149335503578186
6,0,-0.004680917859077427,0.004680917859077427,1.476119875907898,C,C,0.00801475018262876,1.1149335503578186
6,1,0.00447651088237766,0.00447651088237766,0.465909868478775,D,D,0.00801475018262876,1.1149335503578186
6,2,0.06483424246311187,0.06483424246311187,0.755316972732544,B,B,0.00801475018262876,1.1149335503578186
6,3,0.008855928778648492,0.008855928778648492,1.7536463737487793,A,A,0.00801475018262876,1.1149335503578186
6,4,0.02429324448108683,0.02429324448108683,1.0920219421386719,B,B,0.00801475018262876,1.1149335503578186
6,5,-0.004748700261115957,0.004748700261115957,1.5274549722671509,C,C,0.00801475018262876,1.1149335503578186
6,6,-0.08512325763702377,0.08512325763702377,2.1055054664611816,A,C,0.00801475018262876,1.1149335503578186
6,7,0.10053961277008061,0.10053961277008061,1.9961315393447876,A,A,0.00801475018262876,1.1149335503578186
6,8,0.024705946445465088,0.024705946445465088,2.6349117755889893,A,A,0.00801475018262876,1.1149335503578186
6,9,0.10915070533752447,0.10915070533752447,2.8738961219787598,A,A,0.00801475018262876,1.1149335503578186
6,10,-0.0012032717466352594,0.0012032717466352594,1.7116755247116089,C,C,0.00801475018262876,1.1149335503578186
6,11,-0.011270604729652245,0.011270604729652245,1.402388334274292,A,C,0.00801475018262876,1.1149335503578186
7,0,0.03708305776119247,0.03708305776119247,1.8201168775558472,A,A,0.00801475018262876,1.1149335503578186
7,1,0.018750938177108933,0.018750938177108933,1.3999245166778564,A,A,0.00801475018262876,1.1149335503578186
7,2,0.09441027522087109,0.09441027522087109,2.3150391578674316,A,A,0.00801475018262876,1.1149335503578186
7,3,-0.07839903056621544,0.07839903056621544,1.8106629848480225,A,C,0.00801475018262876,1.1149335503578186
7,4,-0.00022819697856890642,0.00022819697856890642,0.46217575669288635,D,D,0.00801475018262876,1.1149335503578186
7,5,0.0017954874038697,0.0017954874038697,0.4549647569656372,D,D,0.00801475018262876,1.1149335503578186
7,6,0.21693625688552864,0.21693625688552864,1.9181818962097168,A,A,0.00801475018262876,1.1149335503578186
7,7,0.01411003053188331,0.01411003053188331,1.3305658102035522,A,A,0.00801475018262876,1.1149335503578186
7,8,0.014838895797729679,0.014838895797729679,0.5397040843963623,B,B,0.00801475018262876,1.1149335503578186
7,9,0.011548647880554208,0.011548647880554208,0.8117763996124268,B,B,0.00801475018262876,1.1149335503578186
7,10,-0.022039537429809464,0.022039537429809464,2.113679885864258,A,C,0.00801475018262876,1.1149335503578186
7,11,0.06107334852218638,0.06107334852218638,1.2852675914764404,A,A,0.00801475018262876,1.1149335503578186
8,0,-0.03518513858318317,0.03518513858318317,0.9078067541122437,B,D,0.00801475018262876,1.1149335503578186
8,1,0.05346407413482668,0.05346407413482668,1.2971720695495605,A,A,0.00801475018262876,1.1149335503578186
8,2,0.050472696423530694,0.050472696423530694,1.3776915073394775,A,A,0.00801475018262876,1.1149335503578186
8,3,0.01536695659160614,0.01536695659160614,0.48600754141807556,B,B,0.00801475018262876,1.1149335503578186
8,4,0.0018037742376328936,0.0018037742376328936,0.35519200563430786,D,D,0.00801475018262876,1.1149335503578186
8,5,0.16112511098384874,0.16112511098384874,1.9238470792770386,A,A,0.00801475018262876,1.1149335503578186
8,6,0.03907624959945677,0.03907624959945677,1.3167973756790161,A,A,0.00801475018262876,1.1149335503578186
8,7,0.008065885305404752,0.008065885305404752,1.5295072793960571,A,A,0.00801475018262876,1.1149335503578186
8,8,0.005632604956626874,0.005632604956626874,0.6804254651069641,D,B,0.00801475018262876,1.1149335503578186
8,9,-0.05917380809783923,0.05917380809783923,0.9192211031913757,B,D,0.00801475018262876,1.1149335503578186
8,10,-0.001023755073547239,0.001023755073547239,1.4899163246154785,C,C,0.00801475018262876,1.1149335503578186
8,11,0.007545465230941906,0.007545465230941906,0.9023386240005493,D,B,0.00801475018262876,1.1149335503578186
9,0,0.012799942493438854,0.012799942493438854,1.2299091815948486,A,A,0.00801475018262876,1.1149335503578186
9,1,0.04136336207389846,0.04136336207389846,1.2548147439956665,A,A,0.00801475018262876,1.1149335503578186
9,2,0.0045836788415909435,0.0045836788415909435,0.9843229055404663,D,D,0.00801475018262876,1.1149335503578186
9,3,0.07945261418819438,0.07945261418819438,1.7302117347717285,A,A,0.00801475018262876,1.1149335503578186
9,4,0.006060304045677256,0.006060304045677256,0.541213870048523,D,B,0.00801475018262876,1.1149335503578186
9,5,0.0006685405969619751,0.0006685405969619751,1.1924467086791992,C,C,0.00801475018262876,1.1149335503578186
9,6,0.0017526710033417547,0.0017526710033417547,1.6154953241348267,C,C,0.00801475018262876,1.1149335503578186
9,7,-0.002799181342124868,0.002799181342124868,0.9811766147613525,D,D,0.00801475018262876,1.1149335503578186
9,8,0.0029883307218552257,0.0029883307218552257,0.6374979615211487,D,D,0.00801475018262876,1.1149335503578186
9,9,0.018652548193931695,0.018652548193931695,1.2577600479125977,A,A,0.00801475018262876,1.1149335503578186
9,10,0.0010149323940278343,0.0010149323940278343,0.4694483280181885,D,D,0.00801475018262876,1.1149335503578186
9,11,0.03510937035083783,0.03510937035083783,1.7116247415542603,A,A,0.00801475018262876,1.1149335503578186
10,0,0.046990035772323635,0.046990035772323635,1.4818615913391113,A,A,0.00801475018262876,1.1149335503578186
10,1,0.08556783676147472,0.08556783676147472,1.7077618837356567,A,A,0.00801475018262876,1.1149335503578186
10,2,0.014109323024749765,0.014109323024749765,1.4049469232559204,A,A,0.00801475018262876,1.1149335503578186
10,3,0.033252637386322004,0.033252637386322004,1.2765969038009644,A,A,0.00801475018262876,1.1149335503578186
10,4,0.013885453939437964,0.013885453939437964,1.204025149345398,A,A,0.00801475018262876,1.1149335503578186
10,5,0.010854259133338928,0.010854259133338928,0.7798712849617004,B,B,0.00801475018262876,1.1149335503578186
10,6,0.0702532833814622,0.0702532833814622,1.4290012121200562,A,A,0.00801475018262876,1.1149335503578186
10,7,-0.17488002359867083,0.17488002359867083,1.8284927606582642,A,C,0.00801475018262876,1.1149335503578186
10,8,0.01136307537555692,0.01136307537555692,1.0032479763031006,B,B,0.00801475018262876,1.1149335503578186
10,9,0.01579284906387346,0.01579284906387346,0.7832829356193542,B,B,0.00801475018262876,1.1149335503578186
10,10,0.02768487095832839,0.02768487095832839,1.2120378017425537,A,A,0.00801475018262876,1.1149335503578186
10,11,0.040264909863471976,0.040264909863471976,1.3662065267562866,A,A,0.00801475018262876,1.1149335503578186
11,0,0.024221810102462937,0.024221810102462937,1.4405922889709473,A,A,0.00801475018262876,1.1149335503578186
11,1,0.015596833229065021,0.015596833229065021,1.1402665376663208,A,A,0.00801475018262876,1.1149335503578186
11,2,0.008281220793724176,0.008281220793724176,0.8578001260757446,B,B,0.00801475018262876,1.1149335503578186
11,3,0.007630457282066461,0.007630457282066461,1.399416208267212,C,A,0.00801475018262876,1.1149335503578186
11,4,0.0007523822784425427,0.0007523822784425427,1.0709023475646973,D,D,0.00801475018262876,1.1149335503578186
11,5,0.03285233080387129,0.03285233080387129,1.4058233499526978,A,A,0.00801475018262876,1.1149335503578186
11,6,0.029103752374649128,0.029103752374649128,1.1696100234985352,A,A,0.00801475018262876,1.1149335503578186
11,7,0.01891782641410833,0.01891782641410833,1.1223456859588623,A,A,0.00801475018262876,1.1149335503578186
11,8,0.031559719443321255,0.031559719443321255,4.305732250213623,A,A,0.00801475018262876,1.1149335503578186
11,9,0.07067756533622749,0.07067756533622749,1.6595606803894043,A,A,0.00801475018262876,1.1149335503578186
11,10,-0.10222978949546802,0.10222978949546802,1.1041356325149536,B,D,0.00801475018262876,1.1149335503578186
11,11,0.013630479574203491,0.013630479574203491,4.102035045623779,A,A,0.00801475018262876,1.1149335503578186
