layer,head,mean_abs_delta,mean_signed_delta,n_trials
13,12,0.03079044117647059,-0.010569852941176471,68
13,13,0.03308823529411765,-0.0055147058823529415,68
13,14,0.038373161764705885,-0.009880514705882353,68
13,15,0.034466911764705885,-0.01608455882352941,68
14,0,0.03262867647058824,0.0013786764705882354,68
14,1,0.03170955882352941,0.00045955882352941176,68
14,2,0.04779411764705882,0.003676470588235294,68
14,3,0.042738970588235295,-0.02068014705882353,68
14,4,0.03308823529411765,-0.009191176470588236,68
14,5,0.04825367647058824,-0.003216911764705882,68
14,6,0.054917279411764705,0.018612132352941176,68
14,7,0.038832720588235295,-0.005284926470588236,68
14,8,0.03630514705882353,-0.012408088235294117,68
14,9,0.03814338235294118,0.0059742647058823525,68
14,10,0.057904411764705885,0.007352941176470588,68
14,11,0.047104779411764705,0.01999080882352941,68
14,12,0.04044117647058824,-0.001838235294117647,68
14,13,0.018612132352941176,-0.004825367647058824,68
14,14,0.03354779411764706,-0.00505514705882353,68
14,15,0.029871323529411766,-0.011488970588235295,68
15,0,0.04480698529411765,0.008501838235294117,68
15,1,0.0390625,-0.0059742647058823525,68
15,2,0.034926470588235295,-0.012867647058823529,68
15,3,0.01838235294117647,-0.0009191176470588235,68
15,4,0.050551470588235295,-0.006433823529411764,68
15,5,0.03262867647058824,-0.0059742647058823525,68
15,6,0.03722426470588235,0.0013786764705882354,68
15,7,0.031020220588235295,-0.00666360294117647,68
15,8,0.04457720588235294,-0.009650735294117647,68
15,9,0.03860294117647059,-0.001838235294117647,68
15,10,0.025275735294117647,-0.0078125,68
15,11,0.03607536764705882,0.003446691176470588,68
15,12,0.04503676470588235,-0.004595588235294118,68
15,13,0.027113970588235295,-0.0078125,68
15,14,0.046185661764705885,-0.0057444852941176475,68
15,15,0.0703125,-0.024356617647058824,68
16,0,0.035845588235294115,0.0,68
16,1,0.05078125,-0.004825367647058824,68
16,2,0.05307904411764706,-0.013097426470588236,68
16,3,0.028952205882352942,-0.015165441176470588,68
16,4,0.05514705882352941,-0.03125,68
16,5,0.034466911764705885,0.002297794117647059,68
16,6,0.03469669117647059,-0.0011488970588235295,68
16,7,0.03308823529411765,-0.0055147058823529415,68
16,8,0.0234375,-0.008731617647058824,68
16,9,0.03262867647058824,-0.006893382352941176,68
16,10,0.025735294117647058,-0.007352941176470588,68
16,11,0.03630514705882353,-0.010569852941176471,68
16,12,0.02297794117647059,0.0027573529411764708,68
16,13,0.017922794117647058,-0.003216911764705882,68
16,14,0.035845588235294115,-0.012867647058823529,68
16,15,0.025275735294117647,-0.0078125,68
17,0,0.02458639705882353,-0.008042279411764705,68
17,1,0.02297794117647059,0.0,68
17,2,0.02389705882352941,-0.011029411764705883,68
17,3,0.0390625,-0.017003676470588234,68
17,4,0.01884191176470588,-0.002297794117647059,68
17,5,0.024356617647058824,-0.008731617647058824,68
17,6,0.06571691176470588,0.003216911764705882,68
17,7,0.0546875,-0.006893382352941176,68
17,8,0.01884191176470588,-0.014246323529411764,68
17,9,0.027573529411764705,-0.003676470588235294,68
17,10,0.025275735294117647,-0.00505514705882353,68
17,11,0.04549632352941176,-0.003216911764705882,68
17,12,0.06732536764705882,0.001608455882352941,68
17,13,0.0900735294117647,-0.01011029411764706,68
17,14,0.04342830882352941,0.001608455882352941,68
17,15,0.14590992647058823,0.05905330882352941,68
18,0,0.04549632352941176,-0.008731617647058824,68
18,1,0.02228860294117647,0.002068014705882353,68
18,2,0.01608455882352941,-0.0078125,68
18,3,0.04457720588235294,-0.00505514705882353,68
18,4,0.029871323529411766,-0.00045955882352941176,68
18,5,0.05951286764705882,-0.0062040441176470585,68
18,6,0.05606617647058824,0.014705882352941176,68
18,7,0.05606617647058824,-0.013786764705882353,68
18,8,0.02849264705882353,-0.014705882352941176,68
18,9,0.04067095588235294,-0.014935661764705883,68
