layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
24,7,4.358433101983631,1.7393866464717542,68
24,8,1.6629660467014593,0.8283131633825649,68
24,9,0.8136222594801117,0.44345286843517134,68
24,10,1.6878676217268496,0.9320102255919077,68
24,11,10.263443136916441,2.609970446081825,68
24,12,0.8100861648426336,0.4580411866390552,68
24,13,0.1919287390431718,0.18251233240018616,68
24,14,4.51421533612644,2.372260452294308,68
24,15,4.330745020771728,2.5101436325988686,68
25,0,7.9072166243020225,2.350209388951367,68
25,1,11.07364106791861,6.109246997236932,68
25,2,8.114533657536787,4.110368583412828,68
25,3,2.7397980050129047,1.282099521665109,68
25,4,4.1148927211761475,1.514795017632295,68
25,5,4.843515285674264,2.03664056012259,68
25,6,3.8624427108203663,1.228963652294682,68
25,7,4.529918325297973,1.7710917836355489,68
25,8,2.9864104094312474,2.621649652945983,68
25,9,3.5022339752930054,2.332866556700159,68
25,10,4.090621726477847,2.745250223732535,68
25,11,2.11884961671689,1.0516397783141782,68
25,12,0.6216847337782383,0.5761181772877839,68
25,13,0.21843623002881513,0.1921260772698859,68
25,14,5.465049227809205,3.406706145732969,68
25,15,0.8233315791277325,0.7878313311491293,68
26,0,2.285946595318177,1.7413492740182825,68
26,1,2.860181815483991,2.005777808817016,68
26,2,7.580246844712426,2.8387212999416978,68
26,3,4.431793106391149,2.12132352513479,68
26,4,5.864146818132961,2.1974312427569287,68
26,5,2.9023461385684857,2.1097638658221944,68
26,6,4.543898061794393,1.8891246053206936,68
26,7,3.314920522272587,2.7824203444212543,68
26,8,8.199703065788045,2.340751881399677,68
26,9,7.084082098568187,2.5360129586179108,68
26,10,5.402365691521588,1.6430098951225547,68
26,11,4.461719870567322,1.7985708216047758,68
26,12,1.310035029974054,1.2879744404557503,68
26,13,5.787495195865631,2.517627547862629,68
26,14,1.0402512160294197,0.614931898993212,68
26,15,3.544365635689567,2.1957939921253167,68
27,0,2.597464389660779,1.4244964471580934,68
27,1,5.758735022124122,1.9012375976276437,68
27,2,5.369904030771816,1.8489486007417149,68
27,3,3.5917198386262443,1.9040004762010385,68
27,4,3.8531787895104466,2.7025055955595607,68
27,5,3.888306496774449,1.7387002109935288,68
27,6,1.6742944204631973,1.0381166895233034,68
27,7,3.7705872979234245,1.8866642314211375,68
27,8,4.774812218020944,1.6683210728774973,68
27,9,5.297810822725296,2.870897846058837,68
27,10,3.5698899600435707,2.193014495120611,68
27,11,0.7037231052184806,1.0027831017820872,68
27,12,3.3434873977128197,0.9736283351600106,68
27,13,7.3595240799819726,1.9659558857381747,68
27,14,4.228504247525159,1.2826191882025568,68
27,15,4.373033195734024,1.4971502533244112,68
28,0,0.968067557496183,1.233989845217197,68
28,1,3.087368408546728,1.3667471677892646,68
28,2,0.5417253870297881,0.3745731779709056,68
28,3,1.2198656854384087,0.4427213730428645,68
28,4,4.0915771687732025,3.357380596612569,68
28,5,2.2183035752352547,1.2001665623376492,68
28,6,0.20852636658203075,0.17656905339993198,68
28,7,1.3754825837471907,0.9694591342916565,68
28,8,0.787211632794317,0.6862209537332891,68
28,9,0.8381660044302836,0.8566531206327294,68
28,10,2.108662927413688,2.0732852085217406,68
28,11,3.1570149160483303,2.1274256723785347,68
28,12,2.9227932305896984,2.1895336727899144,68
28,13,1.6720533441094791,0.9605714121976414,68
28,14,0.7496811388170018,0.3254066116011041,68
28,15,2.1497562672285473,1.200717484538201,68
29,0,1.1517723991590387,1.542562101615682,68
29,1,1.272187179502319,0.5807822340693228,68
29,2,0.9385537636630675,0.4651667968497749,68
29,3,0.400344092727584,0.2167085468243015,68
29,4,8.509186686838374,2.2256091094406676,68
29,5,3.3504851942553238,1.7618348401883253,68
29,6,5.022345830412472,2.441438176765682,68
29,7,0.8772639237782535,0.8158416922683709,68
29,8,0.012191301935886526,0.019496400242472255,68
29,9,1.839792409035213,1.4531739881970507,68
29,10,2.9544489769374622,2.20532860761453,68
29,11,3.505311460398576,2.3517722224270297,68
29,12,3.904650193803451,1.6703160241207045,68
29,13,1.8565738069660522,1.7750264377783005,68
29,14,10.810059660936103,5.208199485290534,68
29,15,6.851242664982291,3.1229526846943876,68
30,0,3.5269553678877212,1.7992072523462217,68
30,1,1.7419044449925423,1.331233765057872,68
30,2,3.3461274386328808,4.3746423164326815,68
30,3,0.3786535255391808,0.29109402190877476,68
30,4,0.24294904060661793,0.1263345950016019,68
30,5,3.046000991893165,2.6754893174402716,68
30,6,6.851348993532798,2.3479175101151015,68
30,7,5.454393795307944,2.028359279203438,68
30,8,1.104871568872648,1.3205290676349457,68
30,9,0.9265255577423993,0.5066922799500808,68
30,10,1.9489491963211227,1.2304352922370083,68
30,11,2.720389839480905,1.987874567681405,68
30,12,0.897285004858585,1.585062708971506,68
30,13,1.0062139586490744,1.926747070469262,68
30,14,4.348883662153693,2.936193355381704,68
30,15,5.180057888521867,2.4295655808866665,68
31,0,2.425622662419782,2.3747392201716915,68
31,1,3.941344340057934,1.4639065038179369,68
31,2,2.017432452562977,0.9207766625558027,68
31,3,3.729113890844233,1.9898777597031478,68
31,4,2.0482577887528084,1.4340030995257105,68
31,5,3.6613057628273964,2.1232385065440322,68
31,6,2.920160249752157,1.0029992499379483,68
31,7,1.0651662603897207,0.6701999448587201,68
31,8,3.802649803021375,2.2552719437465147,68
31,9,1.0754149650387905,0.8286540472569124,68
31,10,1.2291836451519937,1.4706554550017326,68
31,11,0.6495542618281701,0.5531636836150676,68
31,12,4.512849674943616,6.232246945397308,68
31,13,1.3315873639110256,1.1773134753437993,68
31,14,7.27928114638609,2.1902433838829065,68
31,15,0.9634313824422219,2.7921322843898895,68
32,0,1.3908341128159971,0.6271674914062766,68
32,1,0.796272832681151,0.5429951267225613,68
32,2,2.220767617225647,1.0038850973527689,68
32,3,0.15500960674356012,0.08093186490965933,68
32,4,0.914457189028754,1.6254633072360147,68
32,5,0.589703612796524,0.703328061744434,68
32,6,2.554500672747107,2.9931438490390976,68
32,7,2.0461426903219784,1.920052664038758,68
32,8,0.737536561620586,0.47588149162893817,68
32,9,1.8003127463161945,2.421628702217185,68
32,10,5.20013912635691,1.6496103108188955,68
32,11,4.112925430431085,1.9180326133653016,68
32,12,1.8023429396836197,1.9581568094880657,68
32,13,0.777170045849155,0.7794228398859242,68
32,14,0.4624225827043547,0.45223669046063236,68
32,15,0.8769728987313369,1.4005866758460768,68
33,0,1.5646600219256737,1.5732358594134668,68
33,1,0.8473207757753485,0.5427488637167409,68
