layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
3,9,signed_ld,-0.003992795944213867,0.23281116783618927,False,True,C,0.00216519832611084,0.19803574681282043,False,
3,10,signed_ld,0.056075334548950195,0.16044683754444122,True,False,B,0.00216519832611084,0.19803574681282043,False,
3,11,signed_ld,0.0016376972198486328,0.1413666307926178,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,0,signed_ld,-0.0008084774017333984,0.27858662605285645,False,True,C,0.00216519832611084,0.19803574681282043,False,
4,1,signed_ld,-0.0024802684783935547,0.09593267738819122,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,2,signed_ld,-0.004509449005126953,0.07341864705085754,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,3,signed_ld,0.26766204833984375,0.30578476190567017,True,True,A,0.00216519832611084,0.19803574681282043,False,
4,4,signed_ld,-0.052013397216796875,0.11206943541765213,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,5,signed_ld,0.012059450149536133,0.1347016841173172,True,False,B,0.00216519832611084,0.19803574681282043,False,
4,6,signed_ld,-0.009137868881225586,0.13259701430797577,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,7,signed_ld,-0.022522449493408203,0.2670433223247528,False,True,C,0.00216519832611084,0.19803574681282043,False,
4,8,signed_ld,0.006921529769897461,0.07304216176271439,True,False,B,0.00216519832611084,0.19803574681282043,False,
4,9,signed_ld,-0.002329587936401367,0.18674658238887787,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,10,signed_ld,-0.004913806915283203,0.025101564824581146,False,False,D,0.00216519832611084,0.19803574681282043,False,
4,11,signed_ld,0.8286421298980713,0.21542304754257202,True,True,A,0.00216519832611084,0.19803574681282043,True,Previous_Token
5,0,signed_ld,-0.00362396240234375,0.026524808257818222,False,False,D,0.00216519832611084,0.19803574681282043,False,
5,1,signed_ld,0.00014972686767578125,0.001319207833148539,False,False,D,0.00216519832611084,0.19803574681282043,False,
5,2,signed_ld,0.015057086944580078,0.2555752098560333,True,True,A,0.00216519832611084,0.19803574681282043,False,
5,3,signed_ld,0.0010085105895996094,0.2102155089378357,False,True,C,0.00216519832611084,0.19803574681282043,False,
5,4,signed_ld,0.008054971694946289,0.26909375190734863,True,True,A,0.00216519832611084,0.19803574681282043,False,
5,5,signed_ld,0.007306337356567383,0.041641965508461,True,False,B,0.00216519832611084,0.19803574681282043,True,Induction
5,6,signed_ld,0.04665732383728027,0.0689673125743866,True,False,B,0.00216519832611084,0.19803574681282043,False,
5,7,signed_ld,-0.00257110595703125,0.3174234628677368,False,True,C,0.00216519832611084,0.19803574681282043,False,
5,8,signed_ld,0.001463174819946289,0.08383315801620483,False,False,D,0.00216519832611084,0.19803574681282043,False,
5,9,signed_ld,0.14864349365234375,0.07161527872085571,True,False,B,0.00216519832611084,0.19803574681282043,False,
5,10,signed_ld,-0.011234521865844727,0.2575605511665344,False,True,C,0.00216519832611084,0.19803574681282043,False,
5,11,signed_ld,0.014601707458496094,0.09547315537929535,True,False,B,0.00216519832611084,0.19803574681282043,False,
6,0,signed_ld,0.14516139030456543,0.8121011853218079,True,True,A,0.00216519832611084,0.19803574681282043,False,
