layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
4,5,0.1347016841173172,0.09418506920337677,0.004545280244201422,7.65116024017334
4,6,0.13259701430797577,0.09027161449193954,0.004213943611830473,7.74561882019043
4,7,0.2670433223247528,0.06391985714435577,0.002154318615794182,7.83323860168457
4,8,0.07304216176271439,0.08303321897983551,0.0028879130259156227,7.6871724128723145
4,9,0.18674658238887787,0.12687401473522186,0.008243068121373653,7.633723258972168
4,10,0.025101564824581146,0.04000985249876976,0.0008462536497972906,7.737655162811279
4,11,0.21542304754257202,0.06343887746334076,0.0021040374413132668,7.792999744415283
5,0,0.026524808257818222,0.014436393044888973,0.00011272311530774459,7.670853137969971
5,1,0.001319207833148539,0.0006905914633534849,3.600120521696226e-07,5.969876289367676
5,2,0.2555752098560333,0.09968633949756622,0.0049909078516066074,7.707757472991943
5,3,0.2102155089378357,0.12156091630458832,0.006937673781067133,7.831859111785889
5,4,0.26909375190734863,0.15881867706775665,0.0127060916274786,7.814544677734375
5,5,0.041641965508461,0.021407337859272957,0.00025883494527079165,7.583863735198975
5,6,0.0689673125743866,0.058308716863393784,0.0021520471200346947,6.962713718414307
5,7,0.3174234628677368,0.11988800764083862,0.005689674522727728,7.431858062744141
5,8,0.08383315801620483,0.04853362590074539,0.0012646728428080678,7.702373027801514
5,9,0.07161527872085571,0.02434655651450157,0.00033687829272821546,7.623291015625
5,10,0.2575605511665344,0.07381215691566467,0.0024362760595977306,7.533135414123535
5,11,0.09547315537929535,0.06059850752353668,0.001647043856792152,7.738438129425049
6,0,0.8121011853218079,0.39958563446998596,0.09209275245666504,7.5021843910217285
6,1,0.7204867601394653,0.6082127690315247,0.1700766682624817,7.453421115875244
6,2,0.15897752344608307,0.12386859953403473,0.007540297694504261,7.8633294105529785
6,3,0.2046399563550949,0.1358136683702469,0.009526172652840614,7.6059088706970215
6,4,0.19312164187431335,0.09680387377738953,0.004293458070605993,7.699499130249023
6,5,0.1600174456834793,0.11497164517641068,0.006813516840338707,7.817934036254883
6,6,0.15084677934646606,0.08329160511493683,0.0032685541082173586,7.752619743347168
6,7,0.16374650597572327,0.08042740076780319,0.0028649060986936092,7.729006290435791
6,8,0.22692988812923431,0.09381671994924545,0.0042666117660701275,7.820899486541748
6,9,0.03070884197950363,0.023354751989245415,0.0003754985227715224,6.925966262817383
6,10,0.045946814119815826,0.05466197058558464,0.001511415815912187,7.6339874267578125
6,11,0.26614195108413696,0.12888386845588684,0.007737761829048395,7.533426284790039
7,0,0.08781931549310684,0.07926879078149796,0.003182834479957819,7.678503513336182
7,1,0.04080626368522644,0.060524702072143555,0.002271675504744053,7.182799816131592
7,2,0.01320667751133442,0.01745695061981678,0.0002579927386250347,6.297857284545898
7,3,1.8369601964950562,0.5305522084236145,0.15501710772514343,7.755538463592529
7,4,0.18804514408111572,0.13446658849716187,0.008157425560057163,7.679530620574951
7,5,0.3333141803741455,0.17947426438331604,0.01777636632323265,7.377127170562744
7,6,0.20402798056602478,0.1344338357448578,0.008693977259099483,7.639729022979736
7,7,0.13580742478370667,0.17490725219249725,0.016798047348856926,7.09023380279541
7,8,0.35642164945602417,0.15352994203567505,0.00986451655626297,7.5905046463012695
7,9,3.616483211517334,0.8237560391426086,0.3493470251560211,7.839205265045166
7,10,0.03030950389802456,0.03709718585014343,0.0009667229605838656,6.760979652404785
