model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.07,359,359,0.0296875,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.1,512,512,0.0294270833333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.12,615,615,0.0309895833333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.15,768,768,0.0302083333333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.157617,807,807,0.0290364583333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.2,1024,807,0.0290364583333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.3,1536,807,0.0290364583333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.5,2560,807,0.0290364583333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.01,52,52,0.028515625,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.03,154,154,0.030078125,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.05,256,256,0.030078125,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.07,359,359,0.029296875,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.1,512,512,0.028125,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.12,615,615,0.0279947916666666,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_asc,0.15,768,768,0.0295572916666666,0.0,960,20,80,1753,807,807,1753
