model,group,ratio,strict_flip_rate,n
gpt-j-6b-fp32,hilp_imp_desc,0.2,0.075,120
gpt-j-6b-fp32,hilp_imp_desc,0.3,0.08333333333333333,120
gpt-j-6b-fp32,hilp_imp_desc,0.5,0.08333333333333333,120
llama-3.1-70b-instruct-4bit,C_imp_asc,0.05,0.15833333333333333,120
llama-3.1-70b-instruct-4bit,C_imp_asc,0.1,0.5083333333333333,120
llama-3.1-70b-instruct-4bit,C_imp_asc,0.2,0.9916666666666667,120
llama-3.1-70b-instruct-4bit,C_imp_asc,0.3,0.9916666666666667,120
llama-3.1-70b-instruct-4bit,C_imp_asc,0.5,0.9916666666666667,120
llama-3.1-70b-instruct-4bit,D_imp_asc,0.05,0.041666666666666664,120
llama-3.1-70b-instruct-4bit,D_imp_asc,0.1,0.025,120
llama-3.1-70b-instruct-4bit,D_imp_asc,0.2,0.016666666666666666,120
llama-3.1-70b-instruct-4bit,D_imp_asc,0.3,0.025,120
llama-3.1-70b-instruct-4bit,D_imp_asc,0.5,0.025,120
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.05,0.4166666666666667,120
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.1,0.6916666666666667,120
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.2,0.9416666666666667,120
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.3,1.0,120
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.5,1.0,120
llama-3.1-70b-instruct-4bit,hilp_imp_desc,0.05,0.0,120
llama-3.1-70b-instruct-4bit,hilp_imp_desc,0.1,0.016666666666666666,120
llama-3.1-70b-instruct-4bit,hilp_imp_desc,0.2,0.025,120
llama-3.1-70b-instruct-4bit,hilp_imp_desc,0.3,0.025,120
llama-3.1-70b-instruct-4bit,hilp_imp_desc,0.5,0.025,120
