model,group,ratio,n_trials,flip_rate_normalized
Llama-70B-Inst-4bit,hilp_imp_desc,0.2,120,0.0
Llama-70B-Inst-4bit,hilp_imp_desc,0.3,120,0.0
Llama-70B-Inst-4bit,hilp_imp_desc,0.5,120,0.0
Llama-70B-Inst-4bit,C_imp_asc,0.05,120,0.0667
Llama-70B-Inst-4bit,C_imp_asc,0.1,120,0.35
Llama-70B-Inst-4bit,C_imp_asc,0.2,120,0.9917
Llama-70B-Inst-4bit,C_imp_asc,0.3,120,0.9917
Llama-70B-Inst-4bit,C_imp_asc,0.5,120,0.9917
Llama-70B-Inst-4bit,D_imp_asc,0.05,120,0.0
Llama-70B-Inst-4bit,D_imp_asc,0.1,120,0.0
Llama-70B-Inst-4bit,D_imp_asc,0.2,120,0.0
Llama-70B-Inst-4bit,D_imp_asc,0.3,120,0.0
Llama-70B-Inst-4bit,D_imp_asc,0.5,120,0.0
