layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
7,3,0.08916211873292923,0.06269406527280807,0.0039011943154037,5.637574672698975
7,4,0.01049541961401701,0.015650447458028793,0.00015225113020278513,7.178040027618408
7,5,0.09408888965845108,0.062233828008174896,0.004529669415205717,5.420144081115723
7,6,0.18140098452568054,0.08032622188329697,0.010429926216602325,5.702274322509766
7,7,0.12964874505996704,0.10874002426862717,0.006908574141561985,5.573179244995117
7,8,0.13422557711601257,0.10360781848430634,0.004338053520768881,6.001584529876709
7,9,0.08069474995136261,0.07726659625768661,0.009844806976616383,5.666616439819336
7,10,1.1262446641921997,0.19771188497543335,0.10430731624364853,5.404181003570557
7,11,0.2399195432662964,0.09241454303264618,0.017526859417557716,5.512392520904541
8,0,0.16393253207206726,0.10614611953496933,0.007052812725305557,6.14476203918457
8,1,0.20252181589603424,0.12937523424625397,0.03911673277616501,5.3540167808532715
8,2,0.030241241678595543,0.05351478233933449,0.002414778573438525,6.333432674407959
8,3,0.039442334324121475,0.04213336855173111,0.002945425221696496,5.525704383850098
8,4,0.03255226090550423,0.042424317449331284,0.0017216927371919155,6.03012228012085
8,5,0.13974685966968536,0.043400030583143234,0.0019823028706014156,5.3463897705078125
8,6,0.28882330656051636,0.08515510708093643,0.0111262621358037,5.4961018562316895
8,7,0.18284496665000916,0.04537741839885712,0.001925171003676951,5.45237922668457
8,8,0.3806442320346832,0.13628362119197845,0.02921813540160656,5.523041248321533
8,9,0.1649869680404663,0.12145637720823288,0.006954766344279051,5.8539581298828125
8,10,0.2135566771030426,0.0885651707649231,0.01105226669460535,5.614139556884766
8,11,0.8933644890785217,0.22015029191970825,0.09336012601852417,5.368518829345703
9,0,0.033770814538002014,0.04869711026549339,0.004819558933377266,6.110177040100098
9,1,1.186662197113037,0.19945260882377625,0.08481880277395248,5.365513801574707
9,2,0.010551455430686474,0.018521495163440704,0.0004225409065838903,5.733587741851807
9,3,0.2573395371437073,0.09555530548095703,0.00810389406979084,5.514605522155762
9,4,0.027749067172408104,0.036826446652412415,0.002927117981016636,5.544447422027588
9,5,0.3130238652229309,0.13871848583221436,0.02537752129137516,5.497654914855957
9,6,0.313998818397522,0.14684124290943146,0.05870106816291809,5.093715190887451
9,7,0.07710730284452438,0.062387172132730484,0.0037748932372778654,5.136991024017334
9,8,0.04785871505737305,0.07938186824321747,0.0032843779772520065,7.692718029022217
9,9,0.10061292350292206,0.11964304745197296,0.03585556894540787,5.336262226104736
9,10,0.04916602000594139,0.05153742805123329,0.002631981624290347,6.042086124420166
9,11,0.028615379706025124,0.029160337522625923,0.001246307510882616,5.810296058654785
10,0,0.2071884125471115,0.1876104176044464,0.0524246022105217,5.3436970710754395
10,1,0.07394716143608093,0.05346197634935379,0.006399042438715696,5.097818851470947
10,2,0.42121896147727966,0.1908077448606491,0.059840451925992966,5.308330059051514
10,3,0.09118331223726273,0.0694761723279953,0.010661285370588303,5.082376003265381
10,4,0.5044403672218323,0.23530535399913788,0.024628156796097755,5.556366443634033
10,5,0.018525172024965286,0.02209407277405262,0.0004707813204731792,6.177466869354248
10,6,0.03928859159350395,0.03701643645763397,0.003584022168070078,4.785433292388916
10,7,1.1129816770553589,0.21114279329776764,0.07338670641183853,5.628538608551025
10,8,0.09516935050487518,0.07372473925352097,0.009404206648468971,5.390927791595459
10,9,0.032970696687698364,0.021794773638248444,0.0004937362391501665,5.933005332946777
10,10,0.09574029594659805,0.08669885993003845,0.017096860334277153,5.297857761383057
10,11,0.005545593332499266,0.004503924865275621,2.222239891125355e-05,5.768179416656494
11,0,0.5778141021728516,0.09471999108791351,0.012198647484183311,6.362555027008057
11,1,0.04406510293483734,0.024600304663181305,0.0008778226329013705,5.981022834777832
11,2,0.0855233371257782,0.06297652423381805,0.006781124509871006,5.405288219451904
11,3,0.046168871223926544,0.09079627692699432,0.006728844251483679,6.357120513916016
11,4,0.10697349905967712,0.05233059823513031,0.005341349169611931,5.895932674407959
11,5,0.026850944384932518,0.020490147173404694,0.0002747488033492118,6.752972602844238
11,6,0.02263328805565834,0.019142678007483482,0.00044819325557909906,5.682441234588623
11,7,0.039459820836782455,0.025732694193720818,0.0009808114264160395,5.472639083862305
11,8,0.7969507575035095,0.06529927253723145,0.003977212589234114,5.213726997375488
11,9,0.09086202830076218,0.08560571819543839,0.0102313831448555,6.020047187805176
11,10,0.08914113789796829,0.0654253214597702,0.006670002825558186,5.109800338745117
11,11,0.052870217710733414,0.06345177441835403,0.0032300609163939953,6.272874355316162
