layer,head,imp_gt_score_drop,imp_abs_gt_score_drop
6,8,0.00024353806727217542,0.00024353806727217542
6,9,0.003639003903759319,0.003639003903759319
6,10,4.393781956452125e-05,4.393781956452125e-05
6,11,0.0004333926438547797,0.0004333926438547797
7,0,2.241337568448243e-05,2.241337568448243e-05
7,1,-7.601639632584534e-05,7.601639632584534e-05
7,2,0.00018465501147033048,0.00018465501147033048
7,3,-0.00026998928218036067,0.00026998928218036067
7,4,2.9107197427130638e-05,2.9107197427130638e-05
7,5,1.0709913891571166e-06,1.0709913891571166e-06
7,6,0.0004939594236185452,0.0004939594236185452
7,7,0.0008170851357385822,0.0008170851357385822
7,8,-9.698698278867712e-05,9.698698278867712e-05
7,9,-5.5139255653396946e-05,5.5139255653396946e-05
7,10,0.015751179438745433,0.015751179438745433
7,11,0.0007358232590735092,0.0007358232590735092
8,0,-0.00012227532862510437,0.00012227532862510437
8,1,-0.0004698596054436288,0.0004698596054436288
8,2,0.00017261953219360748,0.00017261953219360748
8,3,-6.15329875029158e-05,6.15329875029158e-05
8,4,2.5052422152199716e-05,2.5052422152199716e-05
8,5,0.0002592794896054129,0.0002592794896054129
8,6,0.00017130409754456677,0.00017130409754456677
8,7,-7.327740852702824e-05,7.327740852702824e-05
8,8,0.002397029120529609,0.002397029120529609
8,9,-0.0008334023327637441,0.0008334023327637441
8,10,0.0012313068067217603,0.0012313068067217603
8,11,0.007997360091987371,0.007997360091987371
9,0,-9.470990822507686e-05,9.470990822507686e-05
9,1,0.04514490205778371,0.04514490205778371
9,2,-1.6556053671623605e-06,1.6556053671623605e-06
9,3,0.0005185602835101055,0.0005185602835101055
9,4,-5.266056263908414e-05,5.266056263908414e-05
9,5,0.00040903922670423865,0.00040903922670423865
9,6,-0.0009187010661841633,0.0009187010661841633
9,7,-6.153154195859267e-05,6.153154195859267e-05
9,8,7.212656765118175e-05,7.212656765118175e-05
9,9,-0.0005285418561465083,0.0005285418561465083
9,10,-6.93083324324606e-05,6.93083324324606e-05
9,11,3.290101494579645e-07,3.290101494579645e-07
10,0,-0.00023127660598987188,0.00023127660598987188
10,1,-0.00012635687463388723,0.00012635687463388723
10,2,-0.0011355314224368862,0.0011355314224368862
10,3,6.8674255251643945e-06,6.8674255251643945e-06
10,4,0.001810075125742383,0.001810075125742383
10,5,7.600757420206383e-06,7.600757420206383e-06
10,6,-6.92273349577055e-05,6.92273349577055e-05
10,7,0.008614955043492772,0.008614955043492772
10,8,-0.00018179498191558952,0.00018179498191558952
10,9,-6.976399038183256e-07,6.976399038183256e-07
10,10,-1.7731424242994898e-05,1.7731424242994898e-05
10,11,-1.9873128150049713e-06,1.9873128150049713e-06
11,0,0.0002802663325368604,0.0002802663325368604
11,1,-2.6148203264297898e-06,2.6148203264297898e-06
11,2,-0.00017405142022541842,0.00017405142022541842
11,3,-2.3282404435470694e-05,2.3282404435470694e-05
11,4,-4.526283574335377e-05,4.526283574335377e-05
11,5,1.4395281465184873e-06,1.4395281465184873e-06
11,6,-2.4128035459231034e-05,2.4128035459231034e-05
11,7,1.3121486864220433e-05,1.3121486864220433e-05
11,8,0.00041501113933606337,0.00041501113933606337
11,9,2.6869148613856142e-05,2.6869148613856142e-05
11,10,0.000268996945260086,0.000268996945260086
11,11,-6.007064073970669e-06,6.007064073970669e-06
