layer,head,pert_resample,pert_mean,pert_zero
7,4,0.0104954215,0.05201076,0.67528784
7,5,0.0940889,0.5874887,0.9460732
7,6,0.18140098,0.6803456,1.426176
7,7,0.12964877,0.41274416,0.7538119
7,8,0.13422559,0.44760105,1.0261259
7,9,0.08069478,0.30445707,0.85871786
7,10,1.1262445,1.75541,1.8358786
7,11,0.23991951,0.8407451,1.1588506
8,0,0.16393252,0.61566424,1.3900614
8,1,0.20252185,0.44763127,0.9175961
8,2,0.030241245,0.04741075,0.5477607
8,3,0.039442327,0.1856584,0.95796514
8,4,0.03255226,0.13942659,0.7306758
8,5,0.13974686,1.2997034,1.7132665
8,6,0.28882337,1.2045037,1.3500454
8,7,0.18284503,1.6866857,2.0638876
8,8,0.38064435,1.107795,1.1330835
8,9,0.16498697,0.5166919,0.9289951
8,10,0.21355663,0.7947691,1.6463276
8,11,0.8933642,1.3769209,1.6088008
9,0,0.033770822,0.04408475,0.6943315
9,1,1.1866621,1.8920121,1.8678569
9,2,0.010551453,0.03462217,0.5718491
9,3,0.25733963,0.9562035,2.409124
9,4,0.027749073,0.083670504,0.7200249
9,5,0.31302384,0.8236482,1.3025217
9,6,0.3139988,0.6129799,1.0934273
9,7,0.07710732,0.28881475,1.0762794
9,8,0.04785871,0.060110215,0.6032882
9,9,0.100612886,0.165104,0.722644
9,10,0.049165994,0.13404217,0.96689147
9,11,0.028615382,0.085071675,0.9582655
10,0,0.20718841,0.35688853,0.685176
10,1,0.07394715,0.13694677,1.2746724
10,2,0.421219,0.76580167,1.2893097
10,3,0.0911833,0.19177952,1.1454254
10,4,0.50444037,0.8830204,1.7023069
10,5,0.018525168,0.085769676,0.8640469
10,6,0.03928858,0.085312866,0.9768445
10,7,1.1129814,1.6508642,2.3195004
10,8,0.09516935,0.24748398,1.0734819
10,9,0.032970704,0.14465062,1.5368215
10,10,0.09574026,0.18218733,1.037508
10,11,0.0055455943,0.026311371,1.2392281
11,0,0.5778141,1.254972,7.4171715
11,1,0.044065103,0.16034292,1.7972912
11,2,0.08552336,0.1448012,1.2466569
11,3,0.046168875,0.17424098,0.5191561
11,4,0.1069735,0.40400898,2.2149775
11,5,0.02685095,0.15613024,1.3204188
11,6,0.022633279,0.054743923,1.1605319
11,7,0.03945984,0.1272104,1.5370048
11,8,0.7969506,2.8846903,9.16867
11,9,0.09086199,0.09854219,1.0219084
11,10,0.08914112,0.20413923,1.1994717
11,11,0.0528702,0.2195949,0.84860414
