layer,head,importance_signed,abs_importance,perturbation_l2,cell_abs,cell_signed,abs_imp_median,pert_median,is_gt
10,6,-6.92273349577055e-05,6.92273349577055e-05,0.03928859159350395,D,D,0.00017259515816164805,0.08915162831544876,0
10,7,0.008614955043492772,0.008614955043492772,1.1129816770553589,A,A,0.00017259515816164805,0.08915162831544876,0
10,8,-0.00018179498191558952,0.00018179498191558952,0.09516935050487518,A,C,0.00017259515816164805,0.08915162831544876,0
10,9,-6.976399038183256e-07,6.976399038183256e-07,0.032970696687698364,D,D,0.00017259515816164805,0.08915162831544876,0
10,10,-1.7731424242994898e-05,1.7731424242994898e-05,0.09574029594659805,C,C,0.00017259515816164805,0.08915162831544876,0
10,11,-1.9873128150049713e-06,1.9873128150049713e-06,0.005545593332499266,D,D,0.00017259515816164805,0.08915162831544876,0
11,0,0.0002802663325368604,0.0002802663325368604,0.5778141021728516,A,A,0.00017259515816164805,0.08915162831544876,0
11,1,-2.6148203264297898e-06,2.6148203264297898e-06,0.04406510293483734,D,D,0.00017259515816164805,0.08915162831544876,0
11,2,-0.00017405142022541842,0.00017405142022541842,0.0855233371257782,B,D,0.00017259515816164805,0.08915162831544876,0
11,3,-2.3282404435470694e-05,2.3282404435470694e-05,0.046168871223926544,D,D,0.00017259515816164805,0.08915162831544876,0
11,4,-4.526283574335377e-05,4.526283574335377e-05,0.10697349905967712,C,C,0.00017259515816164805,0.08915162831544876,0
11,5,1.4395281465184873e-06,1.4395281465184873e-06,0.026850944384932518,D,D,0.00017259515816164805,0.08915162831544876,0
11,6,-2.4128035459231034e-05,2.4128035459231034e-05,0.02263328805565834,D,D,0.00017259515816164805,0.08915162831544876,0
11,7,1.3121486864220433e-05,1.3121486864220433e-05,0.039459820836782455,D,D,0.00017259515816164805,0.08915162831544876,0
11,8,0.00041501113933606337,0.00041501113933606337,0.7969507575035095,A,A,0.00017259515816164805,0.08915162831544876,0
11,9,2.6869148613856142e-05,2.6869148613856142e-05,0.09086202830076218,C,A,0.00017259515816164805,0.08915162831544876,0
11,10,0.000268996945260086,0.000268996945260086,0.08914113789796829,B,B,0.00017259515816164805,0.08915162831544876,0
11,11,-6.007064073970669e-06,6.007064073970669e-06,0.052870217710733414,D,D,0.00017259515816164805,0.08915162831544876,0
