layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
8,5,signed,0.0002592794896054129,0.13974685966968536,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
8,6,signed,0.00017130409754456677,0.28882330656051636,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
8,7,signed,-7.327740852702824e-05,0.18284496665000916,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
8,8,signed,0.002397029120529609,0.3806442320346832,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
8,9,signed,-0.0008334023327637441,0.1649869680404663,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
8,10,signed,0.0012313068067217603,0.2135566771030426,True,True,A,1.5342482055008544e-05,0.08915162831544876,True,GT
8,11,signed,0.007997360091987371,0.8933644890785217,True,True,A,1.5342482055008544e-05,0.08915162831544876,True,GT
9,0,signed,-9.470990822507686e-05,0.033770814538002014,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
9,1,signed,0.04514490205778371,1.186662197113037,True,True,A,1.5342482055008544e-05,0.08915162831544876,True,GT
9,2,signed,-1.6556053671623605e-06,0.010551455430686474,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
9,3,signed,0.0005185602835101055,0.2573395371437073,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
9,4,signed,-5.266056263908414e-05,0.027749067172408104,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
9,5,signed,0.00040903922670423865,0.3130238652229309,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
9,6,signed,-0.0009187010661841633,0.313998818397522,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
9,7,signed,-6.153154195859267e-05,0.07710730284452438,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
9,8,signed,7.212656765118175e-05,0.04785871505737305,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
9,9,signed,-0.0005285418561465083,0.10061292350292206,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
9,10,signed,-6.93083324324606e-05,0.04916602000594139,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
9,11,signed,3.290101494579645e-07,0.028615379706025124,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
10,0,signed,-0.00023127660598987188,0.2071884125471115,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
10,1,signed,-0.00012635687463388723,0.07394716143608093,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
10,2,signed,-0.0011355314224368862,0.42121896147727966,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
10,3,signed,6.8674255251643945e-06,0.09118331223726273,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
10,4,signed,0.001810075125742383,0.5044403672218323,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
10,5,signed,7.600757420206383e-06,0.018525172024965286,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
10,6,signed,-6.92273349577055e-05,0.03928859159350395,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
10,7,signed,0.008614955043492772,1.1129816770553589,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
10,8,signed,-0.00018179498191558952,0.09516935050487518,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
10,9,signed,-6.976399038183256e-07,0.032970696687698364,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
10,10,signed,-1.7731424242994898e-05,0.09574029594659805,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
