importance_metric,ablation_type,delta_metric,ratio,cell_c_k,cell_d_k,k_equal,cd_ratio_def_b,cd_ratio_def_a,cell_c_mean_def_b,cell_d_mean_def_b,cell_c_mean_def_a,cell_d_mean_def_a
abs_ld,resample,target_logit,0.1,15,15,True,1.5854217416093228,0.6833190326132013,0.013962349891662597,0.008806710243225097,0.07284520626068115,0.10660497188568115
abs_ld,resample,logit_diff,0.12,18,18,True,0.4061623101131212,0.4338520024588289,0.011314325332641602,0.027856659889221192,0.1308184814453125,0.3015278959274292
abs_ld,resample,target_logit,0.12,18,18,True,0.9435079249709727,0.5624130240551871,0.012763571739196778,0.01352778434753418,0.0730644178390503,0.12991238594055177
abs_ld,resample,logit_diff,0.15,22,22,True,0.6708088343086133,0.47589457104495275,0.02437230110168457,0.036332707405090335,0.1494878673553467,0.3141197156906128
abs_ld,resample,target_logit,0.15,22,22,True,0.310371773025912,0.5701334838490654,0.004183740615844727,0.013479771614074708,0.07433818817138672,0.13038733959197998
abs_ld,resample,logit_diff,0.2,25,25,True,0.859361493498751,0.5368803244717056,0.02780296802520752,0.032353053092956545,0.16884419918060303,0.3144913148880005
abs_ld,resample,target_logit,0.2,25,25,True,1.715031774995281,0.6457203395642421,0.012217321395874024,0.00712367057800293,0.08440562248229981,0.13071544647216796
abs_ld,resample,logit_diff,0.3,25,25,True,0.859361493498751,0.5368803244717056,0.02780296802520752,0.032353053092956545,0.16884419918060303,0.3144913148880005
abs_ld,resample,target_logit,0.3,25,25,True,1.715031774995281,0.6457203395642421,0.012217321395874024,0.00712367057800293,0.08440562248229981,0.13071544647216796
abs_ld,resample,logit_diff,0.5,25,25,True,0.859361493498751,0.5368803244717056,0.02780296802520752,0.032353053092956545,0.16884419918060303,0.3144913148880005
abs_ld,resample,target_logit,0.5,25,25,True,1.715031774995281,0.6457203395642421,0.012217321395874024,0.00712367057800293,0.08440562248229981,0.13071544647216796
signed_ld,mean_ablation,logit_diff,0.01,2,2,True,0.03101906716602921,0.13490932231756667,0.012898931503295899,0.41583879470825197,0.05658306121826172,0.4194155025482178
signed_ld,mean_ablation,target_logit,0.01,2,2,True,0.024462945218084273,0.077971901067627,0.009510350227355958,0.3887655448913574,0.030321955680847168,0.388883113861084
signed_ld,mean_ablation,logit_diff,0.03,5,5,True,0.06328043633195926,0.15140811968832502,0.04027925968170166,0.6365199422836304,0.09637428760528564,0.6365199422836304
signed_ld,mean_ablation,target_logit,0.03,5,5,True,0.06146358008884578,0.11862062041793577,0.03351774215698242,0.5453268766403199,0.0647693157196045,0.546020712852478
signed_ld,mean_ablation,logit_diff,0.05,8,8,True,0.09808930419254316,0.16329258005150146,0.07025505065917968,0.7162355899810791,0.11695595741271973,0.7162355899810791
signed_ld,mean_ablation,target_logit,0.05,8,8,True,0.02874357410706126,0.12912011641511334,0.018348402976989746,0.6383479976654053,0.08242356777191162,0.6383479976654053
signed_ld,mean_ablation,logit_diff,0.07,11,11,True,0.2472871173597549,0.45781264898113433,0.18619466304779053,0.7529493045806884,0.3450324010848999,0.753654146194458
signed_ld,mean_ablation,target_logit,0.07,11,11,True,0.2776775353572662,0.33622027613735556,0.1837723112106323,0.6618191528320313,0.22251701831817627,0.6618191528320313
signed_ld,mean_ablation,logit_diff,0.1,15,15,True,0.2813599249883677,0.5226774497972234,0.21529622077941896,0.7651986002922058,0.4009507656097412,0.7671093630790711
signed_ld,mean_ablation,target_logit,0.1,15,15,True,0.35812494141058154,0.4275486893703453,0.23207850456237794,0.6480378150939942,0.2770677185058594,0.6480378150939942
signed_ld,mean_ablation,logit_diff,0.12,18,18,True,0.26547653084141926,0.4529884678187697,0.2432852268218994,0.9164095449447632,0.4159112453460693,0.9181497430801392
signed_ld,mean_ablation,target_logit,0.12,18,18,True,0.2935795223641506,0.3642130815833937,0.21305490016937256,0.7257144451141357,0.26431469440460204,0.7257144451141357
signed_ld,mean_ablation,logit_diff,0.15,22,22,True,0.44668784028076164,0.5876389452498475,0.40185416221618653,0.8996308517456054,0.5292342662811279,0.9006112861633301
signed_ld,mean_ablation,target_logit,0.15,22,22,True,0.34610962892598046,0.3902184882261155,0.25629770278930664,0.7405101776123046,0.2889607620239258,0.7405101776123046
signed_ld,mean_ablation,logit_diff,0.2,28,28,True,7.619544367594411,7.600352164254369,5.820334858894348,0.7638691473007202,5.820334858894348,0.7657980489730835
signed_ld,mean_ablation,target_logit,0.2,28,28,True,4.859272735686207,4.859272735686207,3.0955087471008302,0.637031283378601,3.0955087471008302,0.637031283378601
signed_ld,mean_ablation,logit_diff,0.3,28,28,True,7.619544367594411,7.600352164254369,5.820334858894348,0.7638691473007202,5.820334858894348,0.7657980489730835
signed_ld,mean_ablation,target_logit,0.3,28,28,True,4.859272735686207,4.859272735686207,3.0955087471008302,0.637031283378601,3.0955087471008302,0.637031283378601
signed_ld,mean_ablation,logit_diff,0.5,28,28,True,7.619544367594411,7.600352164254369,5.820334858894348,0.7638691473007202,5.820334858894348,0.7657980489730835
signed_ld,mean_ablation,target_logit,0.5,28,28,True,4.859272735686207,4.859272735686207,3.0955087471008302,0.637031283378601,3.0955087471008302,0.637031283378601
abs_ld,mean_ablation,logit_diff,0.01,2,2,True,0.13410384530879307,0.4291724766343276,0.012898931503295899,0.09618614196777343,0.05658306121826172,0.13184224128723143
abs_ld,mean_ablation,target_logit,0.01,2,2,True,0.16218191315890457,0.4037178118852984,0.009510350227355958,0.05864001750946045,0.030321955680847168,0.07510680675506592
abs_ld,mean_ablation,logit_diff,0.03,5,5,True,0.46739092388150427,0.9783530093125165,0.04660767078399658,0.09971881866455078,0.13484202861785888,0.13782553672790526
abs_ld,mean_ablation,target_logit,0.03,5,5,True,0.49650750090802137,1.2396984439226364,0.02834192752838135,0.05708257675170898,0.09693740367889404,0.0781943416595459
abs_ld,mean_ablation,logit_diff,0.05,8,8,True,0.4548903702578707,0.8055987244600619,0.050501465797424316,0.11101898193359375,0.11673376560211182,0.14490311622619628
abs_ld,mean_ablation,target_logit,0.05,8,8,True,0.07861990869264762,0.9471495396370915,0.004714269638061524,0.059962797164916995,0.07488992691040039,0.07906874656677246
abs_ld,mean_ablation,logit_diff,0.07,11,11,True,0.41276178970346944,0.5928790229291643,0.06454703330993652,0.1563784122467041,0.1347079563140869,0.22720985412597655
abs_ld,mean_ablation,target_logit,0.07,11,11,True,0.1294778362093217,0.7100416443387811,0.013165817260742188,0.10168394565582276,0.08392498016357422,0.11819726467132569
