group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.05,8,8,50,-13.21713924407959
C_imp_asc,0.05,8,8,51,-5.026567459106445
C_imp_asc,0.05,8,8,52,-8.823905944824219
C_imp_asc,0.05,8,8,53,-5.852128028869629
C_imp_asc,0.05,8,8,54,-7.889932632446289
C_imp_asc,0.05,8,8,55,-12.656404495239258
C_imp_asc,0.05,8,8,56,-7.33946418762207
C_imp_asc,0.05,8,8,57,-7.195237159729004
C_imp_asc,0.05,8,8,58,-8.348012924194336
C_imp_asc,0.05,8,8,59,-7.095005035400391
C_imp_asc,0.05,8,8,60,-11.247856140136719
C_imp_asc,0.05,8,8,61,-12.859136581420898
C_imp_asc,0.05,8,8,62,-14.113326072692871
C_imp_asc,0.05,8,8,63,-9.459478378295898
C_imp_asc,0.05,8,8,64,-10.593907356262207
C_imp_asc,0.05,8,8,65,-12.614038467407227
C_imp_asc,0.05,8,8,66,-9.94599437713623
C_imp_asc,0.05,8,8,67,-5.772682189941406
C_imp_asc,0.05,8,8,68,-9.183931350708008
C_imp_asc,0.05,8,8,69,-6.105349540710449
C_imp_asc,0.05,8,8,70,-10.1322660446167
C_imp_asc,0.05,8,8,71,-10.821053504943848
C_imp_asc,0.05,8,8,72,-9.082377433776855
C_imp_asc,0.05,8,8,73,-8.205204963684082
C_imp_asc,0.05,8,8,74,-7.573195457458496
C_imp_asc,0.05,8,8,75,-12.134347915649414
C_imp_asc,0.05,8,8,76,-15.089832305908203
C_imp_asc,0.05,8,8,77,-12.094104766845703
C_imp_asc,0.05,8,8,78,-8.506275177001953
C_imp_asc,0.05,8,8,79,-5.093457221984863
C_imp_asc,0.05,8,8,80,-10.364778518676758
C_imp_asc,0.05,8,8,81,-5.329076766967773
C_imp_asc,0.05,8,8,82,-9.141702651977539
C_imp_asc,0.05,8,8,83,-11.247856140136719
C_imp_asc,0.05,8,8,84,-10.607358932495117
C_imp_asc,0.05,8,8,85,-12.035829544067383
C_imp_asc,0.05,8,8,86,-5.63807487487793
C_imp_asc,0.05,8,8,87,-6.804426193237305
C_imp_asc,0.05,8,8,88,-7.464500427246094
C_imp_asc,0.05,8,8,89,-7.454634666442871
C_imp_asc,0.05,8,8,90,-7.093870162963867
C_imp_asc,0.05,8,8,91,-11.161651611328125
C_imp_asc,0.05,8,8,92,-10.938817977905273
C_imp_asc,0.05,8,8,93,-8.610467910766602
C_imp_asc,0.05,8,8,94,-10.014087677001953
