layer,head,cell,rsa_max,perturbation_L2,importance_quartile
7,4,D,0.4800747334957123,0.6996508240699768,Q2
7,5,D,0.16232863068580627,0.440496027469635,Q1
7,6,D,0.42766255140304565,1.3470271825790405,Q1
7,7,C,0.4657743573188782,1.8504209518432617,Q2
7,8,D,0.36845773458480835,1.673103928565979,Q1
7,9,C,0.4868365526199341,1.9414849281311035,Q2
7,10,D,0.0,0.135518878698349,Q1
7,11,D,0.2951969802379608,0.009985964745283127,Q1
7,12,C,0.4464852213859558,2.056206703186035,Q2
7,13,D,0.47337988018989563,1.543065071105957,Q2
7,14,C,0.4873320460319519,1.833747148513794,Q2
7,15,hilp,0.5576331615447998,1.6326888799667358,Q3
8,0,D,0.4988059997558594,1.1342217922210693,Q2
8,1,D,0.48334258794784546,1.3656593561172485,Q2
8,2,C,0.3861721158027649,2.1509346961975098,Q1
8,3,D,0.49028950929641724,1.27588951587677,Q2
8,4,D,0.43919050693511963,0.4097992181777954,Q2
8,5,D,0.47940027713775635,0.9130285978317261,Q2
8,6,D,0.41220593452453613,0.9196881651878357,Q1
8,7,D,0.47636210918426514,0.7347418665885925,Q2
8,8,D,0.49489131569862366,0.7031159996986389,Q2
8,9,D,0.4834335148334503,1.167683482170105,Q2
8,10,C,0.4901478886604309,4.189791202545166,Q2
8,11,D,0.49688851833343506,1.235469102859497,Q2
8,12,C,0.48978015780448914,2.012350559234619,Q2
8,13,D,0.46957144141197205,0.8430511951446533,Q2
8,14,D,0.42741659283638,0.4727781414985657,Q1
8,15,hilp,0.528435230255127,0.9597728252410889,Q3
9,0,C,0.495754599571228,1.9001047611236572,Q2
9,1,D,0.4918653964996338,1.4053802490234375,Q2
9,2,D,0.44793057441711426,0.7319859862327576,Q2
9,3,D,0.16979825496673584,0.29764387011528015,Q1
9,4,D,0.4507588744163513,0.35505759716033936,Q2
9,5,C,0.48958611488342285,2.622694730758667,Q2
9,6,hilp,0.5308322906494141,0.911361038684845,Q3
9,7,C,0.4964175820350647,7.03560733795166,Q2
9,8,C,0.5020517110824585,4.295592308044434,Q2
9,9,C,0.5057287216186523,2.908867120742798,Q2
9,10,D,0.49160805344581604,1.3608707189559937,Q2
9,11,D,0.4929261803627014,0.6780292391777039,Q2
9,12,D,0.4954233467578888,1.1438814401626587,Q2
9,13,D,0.5092642903327942,1.4032983779907227,Q2
9,14,hihp,0.6324807405471802,2.3795645236968994,Q3
9,15,D,0.49930286407470703,1.3812295198440552,Q2
10,0,D,0.4847196936607361,1.051778793334961,Q2
10,1,D,0.3220505118370056,0.6551899909973145,Q1
10,2,D,0.5094963908195496,0.9708532691001892,Q2
