seed,n_facts,cell_A,cell_B,cell_C,cell_D,rho_signed,rho_abs,pert_zero_fraction,C_at_1pct,D_at_1pct,C_at_3pct,D_at_3pct,C_at_5pct,D_at_5pct,std_thresh,cd_thresh,inflation,std_selected,cd_selected,std_target_success,cd_target_success,std_mean_drop,cd_mean_drop
3,200,9034,9398,9398,9034,-0.0174,0.6972,0.0005,3.7387938499450684,2.481656312942505,6.082517147064209,2.7490286827087402,7.14813232421875,2.5356857776641846,0.0038377282908186316,0.0011534766526892781,3.33,966,3992,1.0,1.0,7.565,11.16
3,300,9016,9416,9416,9016,-0.0205,0.694,0.0005,3.7957870960235596,1.7341164350509644,6.097720146179199,1.8438550233840942,7.068833351135254,2.0205602645874023,0.003893833898473531,0.0011509062896948308,3.38,961,4086,1.0,1.0,7.558,11.268
4,100,8963,9469,9469,8963,-0.0238,0.7062,0.0006,3.7963860034942627,1.886994481086731,6.306649208068848,1.8781191110610962,7.540374755859375,2.081723213195801,0.004209978738799691,0.0011895171192009002,3.54,1015,4416,1.0,1.0,8.45,12.291
4,200,9004,9428,9428,9004,-0.0204,0.6973,0.0005,3.5621984004974365,1.7541112899780273,5.996164321899414,1.7745410203933716,7.11762809753418,2.0044946670532227,0.003938484122045338,0.0012278452923055738,3.21,1007,3943,1.0,1.0,7.941,11.609
4,300,9039,9393,9393,9039,-0.0192,0.6919,0.0005,3.5372047424316406,2.6892483234405518,5.965995788574219,2.711667776107788,7.1084370613098145,2.719539165496826,0.003974299062974751,0.0011504700523801148,3.45,959,4087,1.0,1.0,7.772,11.551
5,100,9024,9408,9408,9024,-0.0175,0.6992,0.0005,3.8879382610321045,1.5425082445144653,6.498768329620361,1.57918119430542,7.77012300491333,1.7380425930023193,0.004394108429551125,0.0011460432724561542,3.83,903,4493,1.0,1.0,7.727,11.848
5,200,8990,9442,9442,8990,-0.0219,0.6957,0.0005,3.8763418197631836,1.6129302978515625,6.385219573974609,1.6971179246902466,7.269993782043457,1.8387718200683594,0.003985326387919486,0.0011753433209378272,3.39,959,4035,0.995,1.0,7.645,11.327
5,300,9052,9380,9380,9052,-0.0173,0.6929,0.0005,3.4838998317718506,1.6669412851333618,5.859890937805176,1.8414075374603271,7.049383163452148,1.9220387935638428,0.0038821528432890773,0.0011803324450738728,3.29,993,4010,0.997,1.0,7.725,11.346
6,100,9058,9374,9374,9058,-0.0164,0.7026,0.0005,3.8601701259613037,2.189323902130127,6.331087589263916,2.043504476547241,7.510711669921875,2.433305025100708,0.0038374720606952906,0.0011885389394592494,3.23,1021,4025,1.0,1.0,7.955,11.422
6,200,9073,9359,9359,9073,-0.0172,0.6981,0.0005,3.5328283309936523,1.5580511093139648,5.913589954376221,1.6322659254074097,7.060728549957275,1.8612273931503296,0.004038299317471683,0.001219849189510569,3.31,958,3986,1.0,1.0,7.849,11.625
6,300,9076,9356,9356,9076,-0.0186,0.6961,0.0006,3.540973424911499,2.542680501937866,5.929596424102783,2.5148191452026367,7.147168159484863,2.6506848335266113,0.0040294702630490065,0.0012026582844555378,3.35,963,4017,1.0,1.0,7.773,11.484
7,100,9077,9355,9355,9077,-0.0184,0.689,0.0006,4.051669120788574,1.4510875940322876,6.425082683563232,1.4528497457504272,7.565473556518555,1.7464746236801147,0.0041457865154370666,0.0012014122912660241,3.45,940,4145,1.0,1.0,7.961,11.634
7,200,9006,9426,9426,9006,-0.0217,0.6904,0.0005,3.5194203853607178,1.7931954860687256,5.979994297027588,1.7199244499206543,7.139492511749268,2.061084270477295,0.0038736038841307163,0.0011728194076567888,3.3,992,4073,1.0,1.0,7.686,11.302
7,300,9018,9414,9414,9018,-0.0206,0.6926,0.0006,3.4927103519439697,1.636353850364685,5.924030780792236,1.7377820014953613,7.057499408721924,1.8976411819458008,0.0039107296615839005,0.0011734666186384857,3.33,970,4044,1.0,1.0,7.608,11.376
