model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair4,P,-0.125,0.0,34264,34264,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair4,Q,-0.125,0.0625,34264,34264,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair5,P,0.0,-0.046875,18728,18728,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair5,Q,0.0,0.0,18728,18728,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair6,P,-0.125,-0.046875,43773,43773,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair6,Q,-0.125,0.1875,43773,43773,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair7,P,0.0,0.03125,35092,35092,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair7,Q,0.125,0.0,35092,35092,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair8,P,0.0,0.03125,18608,18608,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair8,Q,0.0,0.125,18608,18608,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair9,P,0.0,-0.09375,45712,45712,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair9,Q,0.0,0.125,45712,45712,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair0,P,0.0,0.4375,22337,22337,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair0,Q,0.0,0.375,22337,22337,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair1,P,0.0,0.375,11716,11716,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair1,Q,0.0,0.3125,11716,11716,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair2,P,-0.125,0.375,64883,64883,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair2,Q,-0.125,0.5,64883,64883,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair3,P,0.125,0.25,2479,2479,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair3,Q,0.0,0.3125,2479,2479,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair4,P,0.0,0.375,34264,34264,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair4,Q,-0.125,0.3125,34264,34264,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair5,P,0.0,-0.0625,18728,18728,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair5,Q,0.0,-0.125,18728,18728,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair6,P,0.0,0.0,43773,43773,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair6,Q,0.0,-0.0625,43773,43773,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair7,P,0.0,0.875,35092,35092,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair7,Q,0.0,0.8125,35092,35092,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair8,P,0.0,0.5,18608,18608,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair8,Q,0.0,0.3125,18608,18608,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair9,P,0.0,0.4375,45712,45712,94,348,418,164,0.029166666666666667,0.2509546428918838
