layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
12,6,0.3986818015794544,0.1839536265948197,68
12,7,0.34098564570440965,0.14194223505250048,68
12,8,0.3797474161666982,0.12526373173759545,68
12,9,0.8214965813300189,0.40869962100282764,68
12,10,0.4120787675766384,0.21158620644348722,68
12,11,0.7228489838102284,0.2641262136812037,68
12,12,1.6055307901080917,0.36925484173693984,68
12,13,0.47114938015446944,0.1889364415756319,68
12,14,0.4117623245453133,0.13403773557844595,68
12,15,0.9430538560537731,0.23008899135890282,68
12,16,0.6297443243948853,0.2776017416567336,68
12,17,0.6501338845666718,0.38652230862908343,68
12,18,0.7412560186622774,0.4319702165766426,68
12,19,0.6938683099168188,0.4163587684219264,68
12,20,0.7295020045164753,0.2647264042403911,68
12,21,0.47564558290383396,0.17625757816622922,68
12,22,0.5173350260866916,0.3601483235865841,68
12,23,0.9437979459762573,0.2975467714034547,68
12,24,0.9335981901077663,0.2782804950055889,68
12,25,0.9946397989988327,0.37690309477520656,68
12,26,0.8152672541053856,0.27504360447813964,68
12,27,0.6444877828745281,0.22174285226185983,68
12,28,0.7692245613126194,0.33421617807388054,68
12,29,0.36591791547834873,0.2546335898126478,68
12,30,0.8938776914249448,0.25090273917032757,68
12,31,0.7278111905736082,0.27913551199228115,68
13,0,0.9524800361079329,0.3615910344917224,68
13,1,0.8690568449742654,0.4601744469956946,68
13,2,0.8338365557000917,0.36244192429832833,68
13,3,1.112613026271848,0.5743942836816486,68
13,4,0.15085067150785642,0.08999211242392516,68
13,5,0.18981842965106754,0.11414394230077846,68
13,6,0.10432805309948674,0.06361440335810851,68
13,7,0.34338263345553593,0.2356722905677098,68
13,8,0.8658131113385453,0.5576936376612037,68
13,9,1.2984994375968681,0.5724261636056146,68
13,10,0.689328276716611,0.30859999946543637,68
13,11,1.5630716146791683,0.7583550458593039,68
13,12,0.6548738113659269,0.36859463718544516,68
13,13,0.4914790212231524,0.2589678114029704,68
13,14,0.47806090554770303,0.22974234278103903,68
13,15,0.3991338494507706,0.22957114252757554,68
13,16,0.6943768842474503,0.39013575088953284,68
13,17,0.4025319507893394,0.1940499189142176,68
13,18,0.9633085558957913,0.6618745260887364,68
13,19,0.4910457112333354,0.30531727749994786,68
13,20,0.28416450442198443,0.24643156342808864,68
13,21,0.7136194150456611,0.5226379813117167,68
13,22,0.4897214726490133,0.24494815156884908,68
13,23,0.2535737801124068,0.10625558105317588,68
13,24,0.7861115016481456,0.34706015862525563,68
13,25,0.4157608309212853,0.18994945371672833,68
13,26,0.056030635913724404,0.04406611785807109,68
13,27,0.07817745088216135,0.04905475518876086,68
13,28,1.3216240642701877,0.31642451651741155,68
13,29,0.8698229785351193,0.270488519650913,68
13,30,0.9736158501575974,0.42358421132600577,68
13,31,1.0790250244386055,0.319159842176657,68
14,0,1.0285610002191627,0.6831254333595044,68
14,1,0.7438362635233823,0.4948552548868373,68
14,2,0.9510743727578836,0.4694316213343852,68
14,3,0.6776721396428698,0.44949884121585343,68
14,4,0.22717674054643688,0.10393618813996547,68
14,5,0.7094328727792291,0.47331682915643875,68
14,6,0.6416544377365533,0.2328159337097901,68
14,7,0.5737160253612434,0.237008637217876,68
14,8,1.3396638653734152,0.3786327989953,68
14,9,0.9997867179267547,0.31255173752346604,68
14,10,0.6852465716793257,0.23838586762029126,68
14,11,0.9445231280782643,0.4070998335229402,68
14,12,0.5884460815612007,0.2885709789793837,68
14,13,1.1868240484858261,0.7299406072427602,68
14,14,0.677790334338651,0.28917898540734044,68
14,15,0.7290409880087656,0.27330154625293734,68
14,16,0.45332275111885634,0.18400260490188786,68
14,17,0.07263255656203801,0.05770944814523112,68
14,18,0.1834389530670117,0.2714288522293545,68
14,19,0.40429831400294514,0.32462522749786427,68
14,20,0.24828462045201483,0.18462287753440573,68
14,21,0.5919682992731824,0.3012212585620045,68
14,22,0.2664005219224183,0.2351780677560411,68
14,23,0.542721121407607,0.35446470999804774,68
14,24,1.7214115603881723,0.786656710572398,68
14,25,0.8381331931142246,0.46077168884591585,68
14,26,1.7869361016680212,0.4765284047212717,68
14,27,0.7256870677365976,0.29240292236499665,68
14,28,0.34180331273990516,0.16557224742361495,68
14,29,0.4101681773934294,0.22049112665630802,68
14,30,0.41957739707739916,0.25914639415966223,68
14,31,0.489136206533979,0.44069009672866555,68
15,0,1.133675326100167,0.7291576671905197,68
15,1,0.01248196734677013,0.016580978180181876,68
15,2,0.05203042601522825,0.056747192263812356,68
15,3,0.07461512031252769,0.09003991435465925,68
15,4,0.8401685260674533,0.3727957683509469,68
15,5,0.759409454815528,0.3104171142799053,68
15,6,1.1681326916989159,0.35552293470006036,68
15,7,1.1404363640090998,0.40350348441643286,68
