layer,head,perturbation_L2
15,15,0.590366005897522
15,16,0.28904226422309875
15,17,1.0670676231384277
15,18,0.26054540276527405
15,19,0.33889925479888916
15,20,0.4882199764251709
15,21,0.18077406287193298
15,22,1.1094130277633667
15,23,0.21721599996089935
15,24,0.31419163942337036
15,25,0.379578173160553
15,26,0.3555111885070801
15,27,0.9924754500389099
15,28,0.19895757734775543
15,29,1.3294955492019653
15,30,1.1413404941558838
15,31,0.4156959056854248
15,32,0.17841333150863647
15,33,1.2040644884109497
15,34,0.5369676351547241
15,35,0.1514960527420044
15,36,0.33337467908859253
15,37,0.351014643907547
15,38,0.2758161425590515
15,39,0.20756207406520844
16,0,0.2785753309726715
16,1,0.2315066158771515
16,2,0.5500009059906006
16,3,0.588694155216217
16,4,0.5997424125671387
16,5,1.533694863319397
16,6,0.25055527687072754
16,7,0.26816707849502563
16,8,0.3977871835231781
16,9,0.7058489918708801
16,10,0.9829299449920654
16,11,0.35631588101387024
16,12,0.6706790924072266
16,13,0.698712170124054
16,14,2.0489132404327393
16,15,1.3408969640731812
16,16,2.769462823867798
16,17,0.38153108954429626
16,18,0.4767153561115265
16,19,1.2161232233047485
16,20,0.4770016670227051
16,21,0.2740243077278137
16,22,1.6993319988250732
16,23,1.3534663915634155
16,24,0.4233133792877197
16,25,0.3547429144382477
16,26,1.3502784967422485
16,27,3.272922992706299
16,28,0.8446513414382935
16,29,0.2238638997077942
16,30,2.937544107437134
16,31,0.4498654305934906
16,32,0.5429102182388306
16,33,1.9445359706878662
16,34,0.2795105576515198
16,35,1.0507630109786987
16,36,1.8010600805282593
16,37,0.3979793190956116
16,38,1.0539312362670898
16,39,0.7396641969680786
17,0,0.9319239258766174
17,1,0.8262344598770142
17,2,4.317211627960205
17,3,1.2973690032958984
17,4,1.318918228149414
17,5,1.45905601978302
17,6,0.2954109013080597
17,7,0.2113717794418335
17,8,1.342457890510559
17,9,0.1807454526424408
17,10,2.2374675273895264
17,11,0.24722637236118317
17,12,2.2644219398498535
17,13,0.41899463534355164
17,14,0.5577704310417175
17,15,2.3079748153686523
17,16,0.28435951471328735
