layer,head,imp,pert,cell_global,cell_within,effect
3,4,0.3921729326248169,0.3081496655941009,D,D,0.0033442417780557795
3,5,0.1335229128599167,0.3737549781799316,D,D,0.0029981772104898654
3,6,0.5032703876495361,1.8693236112594604,A,A,0.021926609675089477
3,7,0.1826237589120865,0.364322692155838,D,D,0.0036970535914102745
3,8,0.3613842129707336,0.3154533803462982,D,D,0.0017065445582071452
3,9,0.2378971576690673,0.0831035077571868,D,D,0.0005208094914753903
3,10,0.39174684882164,0.8702082633972168,D,C,0.003759614626566522
3,11,0.4943625926971435,2.449697732925415,A,A,0.03029731909433996
3,12,0.4887691438198089,0.4866690039634704,B,A,0.002079542477925574
3,13,0.4972221255302429,5.455951690673828,A,A,0.047689874966939244
3,14,0.3953368663787842,0.4582732319831848,D,D,0.005640713373819938
3,15,0.4885305166244507,0.7660104632377625,B,A,0.006467032432556103
4,0,0.4725263714790344,0.3229437172412872,B,D,0.00170060793558753
4,1,0.4550092220306396,0.2386562228202819,B,D,0.0012857993443806525
4,2,0.4836639761924743,0.3562406003475189,B,B,0.006434408823649049
4,3,0.5082749128341675,3.690673112869263,A,A,0.020735740661621045
4,4,0.3837581276893616,0.5651708245277405,D,C,0.006475472450256303
4,5,0.4921729862689972,0.4941137433052063,B,A,0.0016910235087076433
4,6,0.5073705911636353,1.1609792709350586,A,A,0.009131566683451286
4,7,0.493849515914917,0.3594352602958679,B,B,0.007159463564554808
4,8,0.5039185285568237,0.8809423446655273,B,A,0.004464793205261181
4,9,0.4779796600341797,0.5084182620048523,B,C,0.0026991685231526224
4,10,0.3863478302955627,0.2490283250808715,D,D,0.002145147323608357
4,11,0.4030316770076751,0.5662444233894348,D,C,0.0033997535705565973
4,12,0.3030856847763061,0.1285234838724136,D,D,0.002638610204060835
4,13,0.4615465998649597,0.3814524412155151,B,D,0.0035685936609903515
4,14,0.4996803104877472,2.23797345161438,A,A,0.03975169658660884
4,15,0.4914054274559021,0.489670842885971,B,B,0.00402097702026363
5,0,0.4997464716434479,0.9475428462028505,B,A,0.0075351158777872285
5,1,0.4935900866985321,1.5377449989318848,A,C,0.021108420689900674
