model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
gpt-j-6b-fp32,43,D_imp_asc,0.07,32,32,0.0250149210294087,0.0132308006286621,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.1,45,45,0.0254522224267323,0.0143260955810546,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.12,54,54,0.0272224833567937,0.0157828330993652,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.15,68,68,0.0269233067830403,0.0155482292175292,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.196429,89,89,0.0297229518493016,0.0190691947937011,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.2,90,90,0.0298220266898473,0.0187654495239257,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.3,135,135,0.0328870067993799,0.0216517448425292,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.5,224,136,0.0331895967324574,0.0223913192749023,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.01,5,5,0.0011421650648117,0.0006866455078125,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.03,14,14,0.0051344583431879,0.002638816833496,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.05,23,23,0.0080691039562225,0.004500389099121,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.07,32,32,0.0151310493548711,0.0077848434448242,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.1,45,45,0.0195397118727366,0.0101404190063476,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.12,54,54,0.038611689209938,0.0182418823242187,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.15,68,68,0.1243274529774983,0.0780658721923828,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.196429,89,89,0.1616034875313441,0.0846991539001464,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.2,90,90,0.1613344987233479,0.0840029716491699,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.3,135,135,0.5477801769971847,0.363410472869873,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.5,224,224,1.2838733807206153,0.8633980751037598,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.01,5,5,0.0890920281410217,0.081641674041748,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.03,14,14,0.0926548024018605,0.0648555755615234,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.05,23,23,0.0952182004849116,0.0688982009887695,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.07,32,32,0.1170170873403549,0.0908617973327636,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.1,45,45,0.1592977076768875,0.1138296127319336,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.12,54,54,0.1825026839971542,0.1321067810058593,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.15,68,68,0.1437254289786021,0.1062040328979492,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.196429,89,89,0.3298039664824804,0.2388229370117187,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.2,90,90,0.3238879442214966,0.2389287948608398,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.3,135,135,0.30710469186306,0.2062234878540039,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.5,224,136,0.3055655479431152,0.2083415985107422,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.01,5,5,0.0344692548116048,0.0258440971374511,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.03,14,14,0.3644049962361653,0.2746901512145996,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.05,23,23,0.4667871544758479,0.3904652595520019,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.07,32,32,0.4422182023525238,0.3642854690551758,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.1,45,45,0.4244900117317835,0.3450407981872558,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.12,54,54,0.3466324716806411,0.2517409324645996,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.15,68,68,0.248653107881546,0.1725797653198242,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.196429,89,89,0.2682811160882314,0.1621475219726562,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.2,90,90,0.269202654560407,0.1578383445739746,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.3,135,135,0.3000610947608947,0.2019319534301757,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_asc,0.5,224,136,0.3055655479431152,0.2083415985107422,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.01,5,5,0.0154163718223571,0.0117597579956054,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.03,14,14,0.0243778973817825,0.0196166038513183,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.05,23,23,0.0363162487745285,0.0329241752624511,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.07,32,32,0.0383661389350891,0.031752586364746,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.1,45,45,0.0343227366606394,0.0276045799255371,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.12,54,54,0.0454525520404179,0.0372538566589355,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.15,68,68,0.0497782011826833,0.041656494140625,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.196429,89,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.2,90,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.3,135,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_desc,0.5,224,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.01,5,5,0.0070165624221165,0.0044693946838378,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.03,14,14,0.0234379221995671,0.0175809860229492,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.05,23,23,0.025780122478803,0.0195355415344238,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.07,32,32,0.0314377963542938,0.0237660408020019,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.1,45,45,0.025098364551862,0.0183448791503906,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.12,54,54,0.0278770506381988,0.0192632675170898,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.15,68,68,0.0356006026268005,0.0269808769226074,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.196429,89,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.2,90,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.3,135,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hilp_imp_asc,0.5,224,88,0.0441450933615366,0.0341339111328125,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.01,5,5,0.0795935442050298,0.0449109077453613,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.03,14,14,0.147777047753334,0.075296401977539,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.05,23,23,0.3213419397672017,0.1798243522644043,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.07,32,32,0.4991275995969772,0.3029394149780273,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.1,45,45,0.6859372506539027,0.4593615531921386,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.12,54,54,0.8204657634099325,0.5440454483032227,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.15,68,68,0.9475977748632431,0.6234111785888672,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.196429,89,88,1.2286564727624258,0.8324108123779297,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.2,90,88,1.2286564727624258,0.8324108123779297,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.3,135,88,1.2286564727624258,0.8324108123779297,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,C_imp_asc,0.5,224,88,1.2286564727624258,0.8324108123779297,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,D_imp_asc,0.01,5,5,0.0111659069856007,0.0038385391235351,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,D_imp_asc,0.03,14,14,0.0186973671118418,0.0102066993713378,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,D_imp_asc,0.05,23,23,0.0214475800593694,0.0126514434814453,960,20,80,136,88,88,136
