group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
D_pert_desc,0.01,2205,2205,39,0.0,0.0
D_pert_desc,0.01,2205,2205,40,0.015625,0.015625
D_pert_desc,0.01,2205,2205,41,0.078125,0.078125
D_pert_desc,0.01,2205,2205,42,-0.027344,0.027344
D_pert_desc,0.01,2205,2205,43,0.046875,0.046875
D_pert_desc,0.01,2205,2205,44,0.027344,0.027344
D_pert_desc,0.01,2205,2205,45,0.015625,0.015625
D_pert_desc,0.01,2205,2205,46,0.039062,0.039062
D_pert_desc,0.01,2205,2205,47,-0.015625,0.015625
D_pert_desc,0.01,2205,2205,48,0.015625,0.015625
D_pert_desc,0.01,2205,2205,49,0.0,0.0
std_imp_asc,0.01,2205,2205,0,0.0,0.0
std_imp_asc,0.01,2205,2205,1,0.007812,0.007812
std_imp_asc,0.01,2205,2205,2,0.003906,0.003906
std_imp_asc,0.01,2205,2205,3,-0.03125,0.03125
std_imp_asc,0.01,2205,2205,4,-0.058594,0.058594
std_imp_asc,0.01,2205,2205,5,0.0,0.0
std_imp_asc,0.01,2205,2205,6,-0.109375,0.109375
std_imp_asc,0.01,2205,2205,7,0.054688,0.054688
std_imp_asc,0.01,2205,2205,8,-0.015625,0.015625
std_imp_asc,0.01,2205,2205,9,0.121094,0.121094
std_imp_asc,0.01,2205,2205,10,0.044922,0.044922
std_imp_asc,0.01,2205,2205,11,-0.101562,0.101562
std_imp_asc,0.01,2205,2205,12,-0.035156,0.035156
std_imp_asc,0.01,2205,2205,13,0.125,0.125
std_imp_asc,0.01,2205,2205,14,0.039062,0.039062
std_imp_asc,0.01,2205,2205,15,0.044922,0.044922
std_imp_asc,0.01,2205,2205,16,-0.03125,0.03125
std_imp_asc,0.01,2205,2205,17,0.074219,0.074219
std_imp_asc,0.01,2205,2205,18,-0.0625,0.0625
std_imp_asc,0.01,2205,2205,19,0.009766,0.009766
std_imp_asc,0.01,2205,2205,20,0.09375,0.09375
std_imp_asc,0.01,2205,2205,21,0.046875,0.046875
std_imp_asc,0.01,2205,2205,22,-0.046875,0.046875
std_imp_asc,0.01,2205,2205,23,-0.039062,0.039062
std_imp_asc,0.01,2205,2205,24,-0.011719,0.011719
std_imp_asc,0.01,2205,2205,25,0.066406,0.066406
std_imp_asc,0.01,2205,2205,26,-0.085938,0.085938
std_imp_asc,0.01,2205,2205,27,0.101562,0.101562
std_imp_asc,0.01,2205,2205,28,-0.074219,0.074219
std_imp_asc,0.01,2205,2205,29,-0.027344,0.027344
std_imp_asc,0.01,2205,2205,30,0.15625,0.15625
std_imp_asc,0.01,2205,2205,31,-0.023438,0.023438
std_imp_asc,0.01,2205,2205,32,0.003906,0.003906
std_imp_asc,0.01,2205,2205,33,0.046875,0.046875
std_imp_asc,0.01,2205,2205,34,-0.128906,0.128906
std_imp_asc,0.01,2205,2205,35,0.095703,0.095703
std_imp_asc,0.01,2205,2205,36,-0.046875,0.046875
std_imp_asc,0.01,2205,2205,37,0.0625,0.0625
std_imp_asc,0.01,2205,2205,38,-0.027344,0.027344
std_imp_asc,0.01,2205,2205,39,0.023438,0.023438
std_imp_asc,0.01,2205,2205,40,0.039062,0.039062
std_imp_asc,0.01,2205,2205,41,-0.070312,0.070312
std_imp_asc,0.01,2205,2205,42,-0.035156,0.035156
std_imp_asc,0.01,2205,2205,43,0.128906,0.128906
