group,ratio,mean_delta,mean_abs_delta,std_delta,n
diag_rank_asc,0.01,0.00476568,0.01093744,0.014018604367986225,50
diag_rank_asc,0.03,0.00710942,0.018359300000000002,0.022362331828769556,50
diag_rank_asc,0.05,0.00710936,0.029062519999999998,0.036179448802087316,50
diag_rank_asc,0.07,0.01453126,0.03968746,0.04790201675478725,50
diag_rank_asc,0.1,0.027070300000000002,0.060663980000000006,0.06965054155473127,50
diag_rank_asc,0.15,0.03464846,0.10066414,0.117273083697526,50
diag_rank_asc,0.2,0.06515626000000001,0.12796878,0.1416716958512885,50
diag_rank_asc,0.3,0.15089840000000002,0.19925788,0.20773249882245295,50
diag_rank_asc,0.5,6.77142574,6.77142574,1.247678522580789,50
diag_zscore_asc,0.01,0.00124996,0.00453108,0.006728285271318756,50
diag_zscore_asc,0.03,0.00699222,0.01457022,0.016460080759950164,50
diag_zscore_asc,0.05,0.01148442,0.01898434,0.023030878802421693,50
diag_zscore_asc,0.07,0.020703100000000002,0.03179682,0.03415204788209363,50
diag_zscore_asc,0.1,0.02187514,0.037734420000000005,0.04221942726243163,50
diag_zscore_asc,0.15,0.04855466,0.08238277999999999,0.08912160927416389,50
diag_zscore_asc,0.2,0.06921872000000001,0.09726564,0.10469251069758953,50
diag_zscore_asc,0.3,0.2040234,0.21871092,0.18217081023902498,50
diag_zscore_asc,0.5,6.77142574,6.77142574,1.247678522580789,50
std_imp_asc,0.01,-0.0017578199999999996,0.05738278,0.0728746736392566,50
std_imp_asc,0.03,-0.006718740000000001,0.06382813999999999,0.08841495596376146,50
std_imp_asc,0.05,-0.01843754,0.0859375,0.12577434224787712,50
std_imp_asc,0.07,-0.05761712,0.14472659999999998,0.19980190838046344,50
std_imp_asc,0.1,-0.053085959999999995,0.1621484,0.2279153296670122,50
std_imp_asc,0.15,0.011757840000000002,0.13292968,0.170110961195064,50
std_imp_asc,0.2,0.09714845999999999,0.15308598,0.1801223353168856,50
std_imp_asc,0.3,0.19976562,0.2590625,0.2634602466298102,50
std_imp_asc,0.5,6.77142574,6.77142574,1.247678522580789,50
