model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair8,P,-1.0,-1.75,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair8,Q,-1.5,-2.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair9,P,-0.5,-0.9375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair9,Q,-0.75,-0.8125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair0,P,-1.0,-2.0,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair0,Q,-0.5,-2.5,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair1,P,-0.5,-1.1875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair1,Q,-1.0,-1.1875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair2,P,-1.0,-2.234375,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair2,Q,-0.75,-6.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair3,P,-0.25,-1.625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair3,Q,-1.25,-2.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair4,P,0.0,-1.53125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair4,Q,0.25,-3.9375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair5,P,-0.5,-1.90625,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair5,Q,-0.75,-1.3125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair6,P,-0.25,-1.625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair6,Q,0.0,-1.625,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair7,P,-1.0,-2.6875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair7,Q,-0.75,-3.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair8,P,-0.75,-1.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair8,Q,-1.0,-2.75,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair9,P,-1.0,-0.7421875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-LESS,pair9,Q,-1.25,-2.53125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair0,P,1.0,-0.546875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair0,Q,1.25,-0.40625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair1,P,0.75,-0.75,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair1,Q,1.75,-2.6875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair2,P,0.5,-0.5,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair2,Q,1.25,-0.125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair3,P,0.5,-0.25,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair3,Q,1.25,-1.5625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair4,P,0.5,-0.9375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair4,Q,1.25,-1.78125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair5,P,0.75,-1.8125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair5,Q,1.25,-1.6875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair6,P,0.75,-1.1015625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair6,Q,1.5,-1.40625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair7,P,0.0,-0.6875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair7,Q,1.5,-0.25,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair8,P,0.5,-0.5,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair8,Q,1.5,-0.875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair9,P,0.75,-0.96875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-MORE,pair9,Q,1.25,-0.25,8993,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair0,P,1.25,-0.1875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair0,Q,1.25,0.578125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair1,P,0.75,-0.5078125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair1,Q,1.5,0.875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair2,P,0.5,-0.38671875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair2,Q,1.0,0.021484375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair3,P,0.75,-0.015625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair3,Q,1.5,0.84375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair4,P,0.5,-0.2421875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair4,Q,1.5,-0.2578125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair5,P,0.75,-0.5,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair5,Q,1.5,0.5,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair6,P,0.75,-0.78125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair6,Q,1.5,0.4375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair7,P,0.75,-0.25,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair7,Q,1.25,0.875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair8,P,0.75,-0.171875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair8,Q,1.5,0.375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair9,P,1.0,-0.04052734375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,OPP-LESS,pair9,Q,1.5,0.328125,8993,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair0,P,0.125,-0.625,9805,9805
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair0,Q,0.5,-2.875,9805,9805
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair1,P,0.25,-1.25,16049,16049
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair1,Q,0.5,-1.5625,16049,16049
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair2,P,-0.125,-0.5,24479,24479
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair2,Q,0.5,-2.3125,24479,24479
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair3,P,0.0,-0.125,4704,4704
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair3,Q,0.0,0.25,4704,4704
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair4,P,0.25,-0.5625,51479,51479
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair4,Q,0.5,-0.8125,51479,51479
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair5,P,0.25,-0.8125,4258,4258
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair5,Q,0.75,-0.8125,4258,4258
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair6,P,0.25,-1.5,64535,64535
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair6,Q,0.625,-1.5625,64535,64535
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair7,P,0.25,-0.5625,7100,7100
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair7,Q,0.25,-0.375,7100,7100
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair8,P,0.25,-0.9375,23071,23071
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair8,Q,-0.125,-1.4375,23071,23071
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair9,P,0.125,-0.375,18613,18613
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,MORE-LESS,pair9,Q,0.125,-0.625,18613,18613
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair0,P,-2.0,-0.125,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair0,Q,-2.5,0.375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair1,P,-1.0,0.25,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair1,Q,-2.5,-1.375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair2,P,-2.5,0.0,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair2,Q,-4.5,-2.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair3,P,-1.5,-0.25,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair3,Q,-2.75,0.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair4,P,-1.0,-0.625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair4,Q,-3.5,-1.375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair5,P,-2.25,0.125,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair5,Q,-3.0,-0.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair6,P,-1.25,-0.625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair6,Q,-1.5,-0.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair7,P,-1.25,1.0,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair7,Q,-1.0,1.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair8,P,-1.25,0.25,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair8,Q,-1.5,-0.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair9,P,-1.75,-0.0625,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-OPP,pair9,Q,-4.5,-2.5,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair0,P,-2.5,2.84375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair0,Q,-2.75,3.25,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair1,P,-1.75,3.875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair1,Q,-2.25,3.75,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair2,P,-3.5,1.75,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair2,Q,-6.0,2.8125,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair3,P,-2.75,3.4375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair3,Q,-2.0,6.125,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair4,P,-2.0,4.5625,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair4,Q,-4.0,7.9375,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair5,P,-2.75,4.0,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair5,Q,-3.0,3.3125,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair6,P,-2.0,3.34375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair6,Q,-2.5,3.75,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair7,P,-2.0,5.0625,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair7,Q,-2.0,3.5625,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair8,P,-2.375,4.75,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair8,Q,-3.25,5.0625,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair9,P,-2.625,2.9375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-MORE,pair9,Q,-2.5,3.9375,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair0,P,-2.75,6.0,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair0,Q,-3.0,8.5,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair1,P,-1.375,1.375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair1,Q,-3.75,5.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair2,P,-3.375,6.765625,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair2,Q,-4.75,6.125,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair3,P,-2.25,4.1875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair3,Q,-3.25,5.75,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair4,P,-1.75,6.84375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair4,Q,-4.5,8.375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair5,P,-2.25,3.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair5,Q,-3.5,6.1875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair6,P,-2.5,4.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair6,Q,-3.25,6.875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair7,P,-2.625,3.875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair7,Q,-3.25,6.4375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair8,P,-2.5,5.0625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair8,Q,-4.25,7.1875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair9,P,-1.5,3.859375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,SAME-LESS,pair9,Q,-3.5,3.03125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair0,P,-0.5,0.3125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair0,Q,-0.25,2.21875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair1,P,-0.25,2.125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair1,Q,0.75,0.3125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair2,P,-0.75,1.59375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair2,Q,-1.0,5.5625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair3,P,-1.0,2.0,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair3,Q,0.25,1.8125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair4,P,-1.5,3.0625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair4,Q,-0.5,3.84375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair5,P,-0.25,0.375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair5,Q,0.0,2.0625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair6,P,-1.0,1.65625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair6,Q,-1.5,2.28125,4285,8993
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair7,P,-0.5,2.5625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair7,Q,0.25,2.875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair8,P,-1.0,3.5,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair8,Q,0.5,1.8125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair9,P,-0.75,0.96875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-MORE,pair9,Q,-0.75,1.875,8993,8993
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair0,P,-0.25,4.0,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair0,Q,0.25,7.203125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair1,P,-0.75,1.40625,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair1,Q,0.75,5.96875,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair2,P,-1.5,1.52734375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair2,Q,-0.5,4.24072265625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair3,P,-0.25,3.34375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair3,Q,0.5,5.03125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair4,P,-1.25,2.8671875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair4,Q,0.25,7.03125,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair5,P,-0.5,1.59375,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair5,Q,0.25,2.84375,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair6,P,-1.0,1.96875,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair6,Q,-0.5,4.65625,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair7,P,-0.5,3.28125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair7,Q,0.5,6.75,4285,4285
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair8,P,-0.5,2.953125,45778,45778
qwen-2.5-14b-instruct,hihp_imp_desc,0.03,57,57,OPP-LESS,pair8,Q,1.0,7.0,4285,4285
