model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
llama-3.1-8b-instruct,hihp,hihp_imp_desc,0.05,0.5294117647058824,0.1323529411764706,280.1029411764706,12.0,1.6632582720588236,2.579159007352941,68
llama-3.1-8b-instruct,hihp,hihp_imp_desc,0.1,0.3676470588235294,0.1029411764705882,638.9558823529412,23.5,0.9989947150735294,3.371869255514706,68
llama-3.1-8b-instruct,hihp,hihp_imp_desc,0.2,0.3676470588235294,0.088235294117647,1547.6470588235295,141.5,-0.0207232306985294,5.046228745404412,68
llama-3.1-8b-instruct,hihp,hihp_imp_desc,0.3,0.3235294117647059,0.1029411764705882,2391.294117647059,130.5,-0.1327406939338235,5.484418083639706,68
llama-3.1-8b-instruct,hihp,hihp_imp_desc,0.5,0.2941176470588235,0.0588235294117647,2565.6617647058824,190.5,-0.3019301470588235,5.702090992647059,68
llama-3.1-8b-instruct,hilp,hilp_imp_asc,0.05,0.9558823529411764,0.2941176470588235,98.07352941176472,3.5,5.289206112132353,0.1783088235294117,68
llama-3.1-8b-instruct,hilp,hilp_imp_asc,0.1,0.8970588235294118,0.2647058823529412,90.95588235294116,4.0,5.352855009191177,0.3853400735294117,68
llama-3.1-8b-instruct,hilp,hilp_imp_asc,0.2,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
llama-3.1-8b-instruct,hilp,hilp_imp_asc,0.3,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
llama-3.1-8b-instruct,hilp,hilp_imp_asc,0.5,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
llama-3.1-8b-instruct,hilp,hilp_imp_desc,0.05,0.8676470588235294,0.2941176470588235,87.79411764705883,4.0,5.270392922794118,0.4607077205882353,68
llama-3.1-8b-instruct,hilp,hilp_imp_desc,0.1,0.8676470588235294,0.25,92.36764705882354,4.0,5.220458984375,0.5278033088235294,68
llama-3.1-8b-instruct,hilp,hilp_imp_desc,0.2,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
llama-3.1-8b-instruct,hilp,hilp_imp_desc,0.3,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
llama-3.1-8b-instruct,hilp,hilp_imp_desc,0.5,0.8676470588235294,0.2794117647058823,92.25,4.0,5.255687040441177,0.5415900735294118,68
gemma-2-9b-it,C,C_imp_asc,0.05,0.9411764705882352,0.2352941176470588,147.75,5.0,5.849954044117647,0.1220128676470588,68
gemma-2-9b-it,C,C_imp_asc,0.1,0.9117647058823528,0.25,170.77941176470588,5.5,5.8291015625,0.1785386029411764,68
gemma-2-9b-it,C,C_imp_asc,0.2,0.8529411764705882,0.2647058823529412,160.8235294117647,5.0,5.832548253676471,0.2948069852941176,68
gemma-2-9b-it,C,C_imp_asc,0.3,0.8529411764705882,0.2647058823529412,160.8235294117647,5.0,5.832548253676471,0.2948069852941176,68
gemma-2-9b-it,C,C_imp_asc,0.5,0.8529411764705882,0.2647058823529412,160.8235294117647,5.0,5.832548253676471,0.2948069852941176,68
gemma-2-9b-it,D,D_imp_asc,0.05,0.9852941176470588,0.25,180.2941176470588,5.0,5.828125,0.0562959558823529,68
gemma-2-9b-it,D,D_imp_asc,0.1,0.9264705882352942,0.2205882352941176,178.01470588235293,5.0,5.817899816176471,0.0818014705882353,68
gemma-2-9b-it,D,D_imp_asc,0.2,0.9264705882352942,0.2205882352941176,154.30882352941177,5.5,5.789005055147059,0.1514246323529411,68
gemma-2-9b-it,D,D_imp_asc,0.3,0.8970588235294118,0.25,134.85294117647058,5.5,5.7734375,0.1803768382352941,68
gemma-2-9b-it,D,D_imp_asc,0.5,0.8529411764705882,0.2647058823529412,134.14705882352942,5.0,5.730238970588236,0.3039981617647059,68
gemma-2-9b-it,diag,diag_rank_asc,0.05,1.0,0.25,182.2058823529412,5.0,5.829963235294118,0.0441176470588235,68
gemma-2-9b-it,diag,diag_rank_asc,0.1,0.9411764705882352,0.2352941176470588,178.0735294117647,5.0,5.798828125,0.0801930147058823,68
gemma-2-9b-it,diag,diag_rank_asc,0.2,0.8970588235294118,0.2352941176470588,164.13235294117646,5.0,5.802734375,0.1420036764705882,68
gemma-2-9b-it,diag,diag_rank_asc,0.3,0.9117647058823528,0.2205882352941176,149.3235294117647,5.5,5.772977941176471,0.1711856617647058,68
gemma-2-9b-it,diag,diag_rank_asc,0.5,0.7941176470588235,0.25,156.4558823529412,4.0,5.686695772058823,0.4457720588235294,68
