group,ratio,mean_delta,mean_abs_delta,std_delta,n
D_pert_desc,0.05,0.33753656,0.35956783999999997,1.367858396676041,50
D_pert_desc,0.07,0.3796461,0.40206794,1.3825042607752516,50
D_pert_desc,0.1,0.44862297999999995,0.4570605,1.399171915412557,50
D_pert_desc,0.15,0.48056396,0.49759516,1.3993653982578766,50
D_pert_desc,0.2,0.51303712,0.57350588,1.477414498534333,50
D_pert_desc,0.3,0.50066402,0.56503906,1.4731019823174678,50
D_pert_desc,0.5,0.50066402,0.56503906,1.4731019823174678,50
diag_rank_asc,0.01,0.25660276,0.27092896,1.2955662846434999,50
diag_rank_asc,0.03,0.25669552,0.29207144,1.3019097656543845,50
diag_rank_asc,0.05,0.24968748000000002,0.29632812,1.2992480522747,50
diag_rank_asc,0.07,0.24752689999999997,0.33630618,1.3185593842644197,50
diag_rank_asc,0.1,0.28747312,0.36981687999999996,1.3436974305166196,50
diag_rank_asc,0.15,-0.06986576,0.6529077200000001,1.6920270333179903,50
diag_rank_asc,0.2,-0.11712636000000001,0.77556888,1.7951131012371264,50
diag_rank_asc,0.3,-0.10010250000000001,0.9742725,2.084389686149512,50
diag_rank_asc,0.5,1.74383782,1.92899406,2.469295239892042,50
diag_zscore_asc,0.01,0.26032228,0.26774416,1.2946267445665023,50
diag_zscore_asc,0.03,0.26192862,0.27290522,1.2943408963263323,50
diag_zscore_asc,0.05,0.24998657999999999,0.28688106,1.3003514905348503,50
diag_zscore_asc,0.07,0.25862062,0.30534914,1.3055650286296778,50
diag_zscore_asc,0.1,0.25338259999999996,0.32833376000000003,1.3193328753025608,50
diag_zscore_asc,0.15,0.28776612,0.36194583999999996,1.331454678250801,50
diag_zscore_asc,0.2,0.2937426,0.38194575999999997,1.345317697910855,50
diag_zscore_asc,0.3,-0.017082600000000014,0.7770579999999999,1.7458098637780506,50
diag_zscore_asc,0.5,1.74383782,1.92899406,2.469295239892042,50
std_imp_asc,0.01,0.20863526,0.31932378,1.3173207426156708,50
std_imp_asc,0.03,0.09710329999999999,0.4732337,1.4868667746863586,50
std_imp_asc,0.05,0.03910640000000003,0.5462744,1.560002921855963,50
std_imp_asc,0.07,-0.12256346000000003,0.70784666,1.7460228737462489,50
std_imp_asc,0.1,-0.19188722000000002,0.83377686,1.9372971620068111,50
std_imp_asc,0.15,-0.18761232,0.9719580000000001,2.1066179005022883,50
std_imp_asc,0.2,-0.18021968000000002,0.98079592,2.137485827041795,50
std_imp_asc,0.3,-0.07753662,1.00754158,2.021050922573809,50
std_imp_asc,0.5,1.74383782,1.92899406,2.469295239892042,50
