group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
D_pert_asc,0.01,968,968,38,-0.001953,0.001953
D_pert_asc,0.01,968,968,39,0.000977,0.000977
D_pert_asc,0.01,968,968,40,0.0,0.0
D_pert_asc,0.01,968,968,41,-0.007812,0.007812
D_pert_asc,0.01,968,968,42,-0.000488,0.000488
D_pert_asc,0.01,968,968,43,0.000977,0.000977
D_pert_asc,0.01,968,968,44,-0.000977,0.000977
D_pert_asc,0.01,968,968,45,0.001953,0.001953
D_pert_asc,0.01,968,968,46,0.007812,0.007812
D_pert_asc,0.01,968,968,47,0.0,0.0
D_pert_asc,0.01,968,968,48,0.003906,0.003906
D_pert_asc,0.01,968,968,49,0.007812,0.007812
D_pert_desc,0.01,968,968,0,0.03418,0.03418
D_pert_desc,0.01,968,968,1,6.223633,6.223633
D_pert_desc,0.01,968,968,2,0.001953,0.001953
D_pert_desc,0.01,968,968,3,-0.037109,0.037109
D_pert_desc,0.01,968,968,4,0.019531,0.019531
D_pert_desc,0.01,968,968,5,-0.006836,0.006836
D_pert_desc,0.01,968,968,6,7.354492,7.354492
D_pert_desc,0.01,968,968,7,0.027832,0.027832
D_pert_desc,0.01,968,968,8,0.021484,0.021484
D_pert_desc,0.01,968,968,9,0.013672,0.013672
D_pert_desc,0.01,968,968,10,0.005127,0.005127
D_pert_desc,0.01,968,968,11,0.039062,0.039062
D_pert_desc,0.01,968,968,12,0.024414,0.024414
D_pert_desc,0.01,968,968,13,0.00415,0.00415
D_pert_desc,0.01,968,968,14,0.021484,0.021484
D_pert_desc,0.01,968,968,15,0.007324,0.007324
D_pert_desc,0.01,968,968,16,0.15625,0.15625
D_pert_desc,0.01,968,968,17,0.009766,0.009766
D_pert_desc,0.01,968,968,18,0.09375,0.09375
D_pert_desc,0.01,968,968,19,0.009766,0.009766
D_pert_desc,0.01,968,968,20,0.019531,0.019531
D_pert_desc,0.01,968,968,21,0.078125,0.078125
D_pert_desc,0.01,968,968,22,0.013672,0.013672
D_pert_desc,0.01,968,968,23,0.048828,0.048828
D_pert_desc,0.01,968,968,24,0.015625,0.015625
D_pert_desc,0.01,968,968,25,0.003906,0.003906
D_pert_desc,0.01,968,968,26,0.28125,0.28125
D_pert_desc,0.01,968,968,27,0.036133,0.036133
D_pert_desc,0.01,968,968,28,0.011719,0.011719
D_pert_desc,0.01,968,968,29,0.012451,0.012451
D_pert_desc,0.01,968,968,30,0.010742,0.010742
D_pert_desc,0.01,968,968,31,0.203125,0.203125
D_pert_desc,0.01,968,968,32,0.005859,0.005859
D_pert_desc,0.01,968,968,33,0.024414,0.024414
D_pert_desc,0.01,968,968,34,-0.00293,0.00293
D_pert_desc,0.01,968,968,35,0.004883,0.004883
D_pert_desc,0.01,968,968,36,-0.007812,0.007812
D_pert_desc,0.01,968,968,37,0.041992,0.041992
D_pert_desc,0.01,968,968,38,0.03125,0.03125
D_pert_desc,0.01,968,968,39,0.015625,0.015625
D_pert_desc,0.01,968,968,40,0.017578,0.017578
D_pert_desc,0.01,968,968,41,-0.007812,0.007812
D_pert_desc,0.01,968,968,42,0.014648,0.014648
D_pert_desc,0.01,968,968,43,0.03418,0.03418
D_pert_desc,0.01,968,968,44,0.020508,0.020508
D_pert_desc,0.01,968,968,45,0.048828,0.048828
D_pert_desc,0.01,968,968,46,-0.023438,0.023438
D_pert_desc,0.01,968,968,47,0.021484,0.021484
D_pert_desc,0.01,968,968,48,0.035156,0.035156
D_pert_desc,0.01,968,968,49,0.085938,0.085938
std_imp_asc,0.01,968,968,0,0.0,0.0
std_imp_asc,0.01,968,968,1,6.051758,6.051758
std_imp_asc,0.01,968,968,2,-0.042969,0.042969
std_imp_asc,0.01,968,968,3,-0.068359,0.068359
std_imp_asc,0.01,968,968,4,-0.041992,0.041992
std_imp_asc,0.01,968,968,5,-0.029541,0.029541
std_imp_asc,0.01,968,968,6,7.049805,7.049805
std_imp_asc,0.01,968,968,7,-0.025391,0.025391
std_imp_asc,0.01,968,968,8,-0.018555,0.018555
std_imp_asc,0.01,968,968,9,-0.016968,0.016968
std_imp_asc,0.01,968,968,10,-0.005127,0.005127
std_imp_asc,0.01,968,968,11,-0.039062,0.039062
std_imp_asc,0.01,968,968,12,-0.010742,0.010742
std_imp_asc,0.01,968,968,13,-0.029297,0.029297
std_imp_asc,0.01,968,968,14,-0.022461,0.022461
std_imp_asc,0.01,968,968,15,-0.023438,0.023438
std_imp_asc,0.01,968,968,16,-0.414062,0.414062
std_imp_asc,0.01,968,968,17,0.002686,0.002686
