group,ratio,k,k_actual,prompt_id,delta_loss_signed
C_imp_asc,0.03,5,5,34,-1.431927530389082
C_imp_asc,0.03,5,5,35,-1.2587591974358823
C_imp_asc,0.03,5,5,36,-0.7740645157663444
C_imp_asc,0.03,5,5,37,-1.0486589732923015
C_imp_asc,0.03,5,5,38,-1.0078455272473796
C_imp_asc,0.03,5,5,39,-0.8276204058998502
C_imp_asc,0.03,5,5,40,-0.8323869705200195
C_imp_asc,0.03,5,5,41,-1.0554002962614355
C_imp_asc,0.03,5,5,42,-1.1122141386333269
C_imp_asc,0.03,5,5,43,-1.7141349692093684
C_imp_asc,0.03,5,5,44,-2.088349141572653
C_imp_asc,0.03,5,5,45,-1.8629853599949904
C_imp_asc,0.03,5,5,46,-1.7957687879863542
C_imp_asc,0.03,5,5,47,-1.132403122751338
C_imp_asc,0.03,5,5,48,-2.085982523466413
C_imp_asc,0.03,5,5,49,-1.7203175394158592
C_imp_asc,0.03,5,5,50,-2.259200899224533
C_imp_asc,0.03,5,5,51,-2.3070035733674708
C_imp_asc,0.03,5,5,52,-2.532590113188091
C_imp_asc,0.03,5,5,53,-1.9000710437172348
C_imp_asc,0.03,5,5,54,-1.9509713022332456
C_imp_asc,0.03,5,5,55,-0.7692396264327197
C_imp_asc,0.03,5,5,56,-1.303306579589842
C_imp_asc,0.03,5,5,57,-1.21568032314903
C_imp_asc,0.03,5,5,58,-0.8157755701165463
C_imp_asc,0.03,5,5,59,-1.9325388858192838
C_imp_asc,0.03,5,5,60,-1.4574738803662761
C_imp_asc,0.03,5,5,61,-0.5755188088668035
C_imp_asc,0.03,5,5,62,-1.8053795663934
C_imp_asc,0.03,5,5,63,-1.2038554643329817
C_imp_asc,0.03,5,5,64,-1.8202141209652574
C_imp_asc,0.03,5,5,65,-1.3851939251548373
C_imp_asc,0.03,5,5,66,-0.8428096269306398
C_imp_asc,0.03,5,5,67,-1.5360689163208008
C_imp_asc,0.03,5,5,68,-0.8501841394524821
C_imp_asc,0.03,5,5,69,-0.7846238989579053
C_imp_asc,0.03,5,5,70,-2.5152580361617236
C_imp_asc,0.03,5,5,71,-1.735388053090949
C_imp_asc,0.03,5,5,72,-1.7578508477461963
C_imp_asc,0.03,5,5,73,-0.6328256506668879
C_imp_asc,0.03,5,5,74,-1.2282292215447672
