layer,head,perturbation_L2
17,7,0.5446784496307373
17,8,0.20298336446285248
17,9,0.15223602950572968
17,10,0.12374214828014374
17,11,0.16357456147670746
17,12,0.3042295575141907
17,13,0.35532355308532715
17,14,0.26556989550590515
17,15,0.2897961735725403
17,16,0.09284863620996475
17,17,0.09712681919336319
17,18,0.5132619142532349
17,19,0.14939798414707184
17,20,0.855604350566864
17,21,1.4473575353622437
17,22,0.6836506128311157
17,23,0.326710969209671
17,24,3.4836883544921875
17,25,0.9973081350326538
17,26,1.4001328945159912
17,27,1.1316136121749878
17,28,0.26848533749580383
17,29,1.0135148763656616
17,30,0.4947941303253174
17,31,0.5865663290023804
18,0,0.618132472038269
18,1,0.09810971468687057
18,2,0.23723247647285461
18,3,0.03770366311073303
18,4,0.07137896865606308
18,5,0.1392955332994461
18,6,0.025826452299952507
18,7,0.21282701194286346
18,8,1.170094609260559
18,9,0.9922640919685364
18,10,0.6301701068878174
18,11,0.8100451827049255
18,12,0.33181360363960266
18,13,0.07212890684604645
18,14,0.3167084753513336
18,15,0.04851377382874489
18,16,0.3183101713657379
18,17,0.05144831910729408
18,18,0.08559052646160126
18,19,0.15411333739757538
18,20,1.0833333730697632
18,21,0.22284363210201263
18,22,1.407057285308838
18,23,1.199989676475525
18,24,0.5986173152923584
18,25,0.9329550266265869
18,26,0.4996430277824402
18,27,0.3256511986255646
18,28,1.76949143409729
18,29,0.8688682913780212
18,30,0.3005463480949402
18,31,0.06815420836210251
19,0,0.4657295048236847
19,1,0.30586549639701843
19,2,1.1426057815551758
19,3,1.9683347940444946
19,4,0.145317941904068
19,5,0.09043046087026596
19,6,0.10175111889839172
19,7,0.23130851984024048
19,8,0.6526759266853333
19,9,0.9791720509529114
19,10,0.3753979504108429
19,11,0.6654676198959351
19,12,0.12459889054298401
19,13,0.44146406650543213
19,14,0.35895100235939026
19,15,0.15529976785182953
19,16,0.13922569155693054
19,17,0.042333319783210754
19,18,0.13874445855617523
19,19,0.11046011000871658
19,20,0.5677746534347534
19,21,0.1344185769557953
19,22,0.1607608199119568
19,23,0.5611822605133057
19,24,0.008804160170257092
19,25,0.16185060143470764
19,26,0.041639506816864014
19,27,0.049124330282211304
19,28,0.0527428537607193
19,29,0.23465923964977264
19,30,0.22744958102703094
19,31,0.1164613589644432
20,0,0.46063926815986633
20,1,1.3349454402923584
