layer,head,perturbation_L2
1,39,0.023354634642601013
1,40,0.028186287730932236
1,41,0.012111960910260677
1,42,0.01079779677093029
1,43,0.013184585608541965
1,44,0.014901857823133469
1,45,0.014773647300899029
1,46,0.009988964535295963
1,47,0.011643481440842152
1,48,0.007951607927680016
1,49,0.009946433827280998
1,50,0.01105476263910532
1,51,0.015110358595848083
1,52,0.011548337526619434
1,53,0.028136970475316048
1,54,0.01643974706530571
1,55,0.015314508229494095
1,56,0.01829635724425316
1,57,0.022030258551239967
1,58,0.016376284882426262
1,59,0.011531824246048927
1,60,0.019612258300185204
1,61,0.01607496105134487
1,62,0.01171711552888155
1,63,0.012564970180392265
2,0,0.003778985235840082
2,1,0.0035062057431787252
2,2,0.0022842760663479567
2,3,0.007339725736528635
2,4,0.004169781692326069
2,5,0.002102639526128769
2,6,0.012953105382621288
2,7,0.0014468098524957895
2,8,0.017781930044293404
2,9,0.0032007209956645966
2,10,0.004889161791652441
2,11,0.005898782052099705
2,12,0.0023162958677858114
2,13,0.001085004536435008
2,14,0.014766515232622623
2,15,0.0024727543350309134
2,16,0.013389329425990582
2,17,0.006885361857712269
2,18,0.01038972195237875
2,19,0.010559234768152237
2,20,0.01236745435744524
2,21,0.006535524036735296
2,22,0.009825619868934155
2,23,0.00878316629678011
2,24,0.007040129974484444
2,25,0.0011633322574198246
2,26,0.004552810452878475
2,27,0.0020260715391486883
2,28,0.012632007710635662
2,29,0.003696105908602476
2,30,0.003829869907349348
2,31,0.002696263138204813
2,32,0.0010392831172794104
2,33,0.0029034800827503204
2,34,0.0035195110831409693
2,35,0.00042298779590055346
2,36,0.005479274317622185
2,37,0.0014116223901510239
2,38,0.010770339518785477
2,39,0.004164843820035458
2,40,0.0050978949293494225
2,41,0.003101889044046402
2,42,0.003436956088989973
2,43,0.0016195329371839762
2,44,0.001570340245962143
2,45,0.0005945611046627164
2,46,0.002783475909382105
2,47,0.008894416503608227
2,48,0.005199626553803682
2,49,0.007152140140533447
2,50,0.0015756168868392706
2,51,0.007615547627210617
2,52,0.004050617106258869
2,53,0.00936267152428627
2,54,0.010021341033279896
2,55,0.009594813920557499
2,56,0.0045254467986524105
2,57,0.005905039608478546
2,58,0.006986577063798904
2,59,0.0064308191649615765
2,60,0.003457218874245882
2,61,0.013266770169138908
2,62,0.0018238152842968702
2,63,0.009167046286165714
3,0,0.0050893863663077354
3,1,0.0020292983390390873
3,2,0.009415342472493649
3,3,0.0025489083491265774
3,4,0.00940958596765995
3,5,0.0018294273177161813
3,6,0.004381630104035139
