layer,head,cell,rsa_max,perturbation_L2,importance_quartile
3,38,D,0.18679013848304749,0.0031725713051855564,Q1
3,39,D,0.29244115948677063,0.0036158959846943617,Q1
3,40,D,0.18384167551994324,0.0033397336956113577,Q1
3,41,D,0.12530046701431274,0.0013472986174747348,Q1
3,42,D,0.0997106283903122,0.0022887494415044785,Q1
3,43,D,0.1053352952003479,0.0029841165523976088,Q1
3,44,D,0.09729422628879547,0.0014673181576654315,Q1
3,45,D,0.11302809417247772,0.0037742459680885077,Q1
3,46,D,0.20561166107654572,0.008086333982646465,Q1
3,47,D,0.14343202114105225,0.004893328994512558,Q1
3,48,D,0.18964244425296783,0.003232192248106003,Q1
3,49,D,0.4667738974094391,0.008410852402448654,Q2
3,50,D,0.17234569787979126,0.007986056618392467,Q1
3,51,D,0.18629100918769836,0.005111514590680599,Q1
3,52,D,0.14915689826011658,0.0038983614649623632,Q1
3,53,D,0.4525514543056488,0.0068779899738729,Q2
3,54,D,0.21091121435165405,0.010375043377280235,Q1
3,55,D,0.027336550876498222,0.0010064555099233985,Q1
3,56,D,0.18041633069515228,0.0036833600606769323,Q1
3,57,D,0.41748934984207153,0.002428104868158698,Q2
3,58,D,0.21804755926132202,0.0024811532348394394,Q1
3,59,D,0.15032127499580383,0.002510608406737447,Q1
3,60,D,0.14776968955993652,0.0031776351388543844,Q1
3,61,D,0.11073300987482071,0.0017420672811567783,Q1
3,62,D,0.19596795737743378,0.005123371724039316,Q1
3,63,D,0.16700109839439392,0.0016337159322574735,Q1
4,0,D,0.3354783058166504,0.007495078723877668,Q1
4,1,D,0.310518354177475,0.004432926885783672,Q1
4,2,D,0.25399014353752136,0.0018316622590646148,Q1
4,3,D,0.2861749529838562,0.004812680650502443,Q1
4,4,D,0.2033567577600479,0.002960791112855077,Q1
4,5,D,0.26479047536849976,0.0026958787348121405,Q1
4,6,D,0.4941774606704712,0.013982826843857765,Q2
4,7,D,0.30439990758895874,0.00168283237144351,Q1
