model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-8b-instruct,43,diag_rank_asc,0.15,154,154,0.06106770833333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.173828,178,178,0.078515625,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.2,205,205,0.20052083333333334,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.3,308,308,2.4195963541666665,1.75,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.5,512,512,4.603580729166667,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.01,11,11,0.40325520833333334,0.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.03,31,31,1.0781901041666666,0.75,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.05,52,52,1.7990234375,1.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.07,72,72,2.0625,1.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.1,103,103,1.6757161458333334,1.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.12,123,123,1.9340494791666667,1.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.15,154,154,2.0888020833333334,1.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.173828,178,178,2.4712890625,1.75,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.2,205,205,2.88671875,2.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.3,308,308,4.381770833333333,3.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,std_imp_asc,0.5,512,512,4.603580729166667,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,44,hihp_imp_desc,0.01,11,11,0.29244791666666664,0.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.03,31,31,0.7353515625,0.75,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.05,52,52,1.9662109375,1.875,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.07,72,72,2.1518229166666667,2.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.1,103,103,2.5801432291666666,2.75,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.12,123,123,2.6147786458333333,2.75,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.15,154,154,2.425,2.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.171875,176,176,2.8457682291666666,2.71875,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.2,205,205,4.401009114583333,3.75,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.3,308,308,5.16767578125,4.4375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_desc,0.5,512,336,5.19443359375,4.40625,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.01,11,11,0.046875,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.03,31,31,0.10885416666666667,0.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.05,52,52,0.32721354166666666,0.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.07,72,72,0.40716145833333334,0.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.1,103,103,0.49368489583333336,0.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.12,123,123,0.5934895833333333,0.625,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.15,154,154,1.56015625,1.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.171875,176,176,2.4954427083333335,2.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.2,205,205,1.2733072916666666,1.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.3,308,308,4.317838541666666,3.625,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hihp_imp_asc,0.5,512,336,5.19443359375,4.40625,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.01,11,11,0.0390625,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.03,31,31,0.04700520833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.05,52,52,0.051432291666666664,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.07,72,72,0.04895833333333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.1,103,103,0.05559895833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.12,123,123,0.04700520833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.15,154,154,0.049088541666666666,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.171875,176,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.2,205,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.3,308,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_desc,0.5,512,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.01,11,11,0.044921875,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.03,31,31,0.04153645833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.05,52,52,0.046875,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.07,72,72,0.065625,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.1,103,103,0.060286458333333334,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.12,123,123,0.05963541666666667,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.15,154,154,0.05325520833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.171875,176,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.2,205,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.3,308,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,hilp_imp_asc,0.5,512,176,0.051953125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.01,11,11,0.35885416666666664,0.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.03,31,31,1.8305989583333333,1.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.05,52,52,1.6559895833333333,1.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.07,72,72,2.070572916666667,1.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.1,103,103,2.8380859375,2.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.12,123,123,3.9662760416666667,3.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.15,154,154,4.302864583333333,3.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.171875,176,176,4.639583333333333,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.2,205,176,4.639583333333333,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.3,308,176,4.639583333333333,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,C_imp_asc,0.5,512,176,4.639583333333333,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.01,11,11,0.0359375,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.03,31,31,0.039322916666666666,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.05,52,52,0.041276041666666666,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.07,72,72,0.046484375,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.1,103,103,0.047265625,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.12,123,123,0.049479166666666664,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.15,154,154,0.061848958333333336,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.171875,176,176,0.06041666666666667,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.2,205,205,0.06106770833333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.3,308,308,0.084765625,0.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,D_imp_asc,0.5,512,336,0.11510416666666666,0.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.01,11,11,0.033463541666666666,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.03,31,31,0.0359375,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.05,52,52,0.035546875,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.07,72,72,0.03671875,0.0,960,20,80,336,176,176,336
