group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
D_imp_asc,0.01,18048,18048,35,0.00293,0.00293
D_imp_asc,0.01,18048,18048,36,0.023438,0.023438
D_imp_asc,0.01,18048,18048,37,0.005859,0.005859
D_imp_asc,0.01,18048,18048,38,-0.008789,0.008789
D_imp_asc,0.01,18048,18048,39,0.019531,0.019531
D_imp_asc,0.01,18048,18048,40,-0.013672,0.013672
D_imp_asc,0.01,18048,18048,41,0.078125,0.078125
D_imp_asc,0.01,18048,18048,42,-0.003906,0.003906
D_imp_asc,0.01,18048,18048,43,0.007324,0.007324
D_imp_asc,0.01,18048,18048,44,0.037109,0.037109
D_imp_asc,0.01,18048,18048,45,-0.009766,0.009766
D_imp_asc,0.01,18048,18048,46,-0.039062,0.039062
D_imp_asc,0.01,18048,18048,47,-0.011719,0.011719
D_imp_asc,0.01,18048,18048,48,0.039062,0.039062
D_imp_asc,0.01,18048,18048,49,0.320312,0.320312
D_pert_asc,0.01,18048,18048,0,0.005859,0.005859
D_pert_asc,0.01,18048,18048,1,0.0,0.0
D_pert_asc,0.01,18048,18048,2,-0.00293,0.00293
D_pert_asc,0.01,18048,18048,3,-0.013672,0.013672
D_pert_asc,0.01,18048,18048,4,0.001953,0.001953
D_pert_asc,0.01,18048,18048,5,0.0,0.0
D_pert_asc,0.01,18048,18048,6,0.0,0.0
D_pert_asc,0.01,18048,18048,7,-0.005859,0.005859
D_pert_asc,0.01,18048,18048,8,0.007812,0.007812
D_pert_asc,0.01,18048,18048,9,-0.001953,0.001953
D_pert_asc,0.01,18048,18048,10,-0.005127,0.005127
D_pert_asc,0.01,18048,18048,11,0.007812,0.007812
D_pert_asc,0.01,18048,18048,12,0.003906,0.003906
D_pert_asc,0.01,18048,18048,13,-0.001953,0.001953
D_pert_asc,0.01,18048,18048,14,0.010742,0.010742
D_pert_asc,0.01,18048,18048,15,-0.002441,0.002441
D_pert_asc,0.01,18048,18048,16,0.015625,0.015625
D_pert_asc,0.01,18048,18048,17,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,18,-0.000977,0.000977
D_pert_asc,0.01,18048,18048,19,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,20,0.0,0.0
D_pert_asc,0.01,18048,18048,21,-0.023438,0.023438
D_pert_asc,0.01,18048,18048,22,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,23,-0.007812,0.007812
D_pert_asc,0.01,18048,18048,24,0.004883,0.004883
D_pert_asc,0.01,18048,18048,25,0.0,0.0
D_pert_asc,0.01,18048,18048,26,0.023438,0.023438
D_pert_asc,0.01,18048,18048,27,0.005371,0.005371
D_pert_asc,0.01,18048,18048,28,0.003906,0.003906
D_pert_asc,0.01,18048,18048,29,0.004395,0.004395
D_pert_asc,0.01,18048,18048,30,0.0,0.0
D_pert_asc,0.01,18048,18048,31,-0.015625,0.015625
D_pert_asc,0.01,18048,18048,32,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,33,-0.002441,0.002441
D_pert_asc,0.01,18048,18048,34,0.004639,0.004639
D_pert_asc,0.01,18048,18048,35,-0.000977,0.000977
D_pert_asc,0.01,18048,18048,36,0.007812,0.007812
D_pert_asc,0.01,18048,18048,37,0.005859,0.005859
D_pert_asc,0.01,18048,18048,38,-0.008789,0.008789
D_pert_asc,0.01,18048,18048,39,0.001953,0.001953
D_pert_asc,0.01,18048,18048,40,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,41,0.0,0.0
D_pert_asc,0.01,18048,18048,42,0.015625,0.015625
D_pert_asc,0.01,18048,18048,43,-0.007324,0.007324
D_pert_asc,0.01,18048,18048,44,-0.007812,0.007812
D_pert_asc,0.01,18048,18048,45,-0.003906,0.003906
D_pert_asc,0.01,18048,18048,46,0.0,0.0
D_pert_asc,0.01,18048,18048,47,0.001953,0.001953
D_pert_asc,0.01,18048,18048,48,-0.039062,0.039062
D_pert_asc,0.01,18048,18048,49,-0.03125,0.03125
D_pert_desc,0.01,18048,18048,0,0.013672,0.013672
