model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.5,960,655,18.05868123372396,17.71875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.01,20,20,0.1998697916666666,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.03,58,58,0.3190104166666667,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.05,96,96,0.6291666666666667,0.5,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.07,135,135,0.7631510416666667,0.625,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.1,192,192,1.7268229166666669,1.625,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.12,231,231,3.4326822916666666,3.5,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.15,288,288,6.4087890625,6.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.158854,305,305,6.382096354166666,6.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.2,384,384,8.280110677083334,8.0,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.3,576,576,13.961751302083334,13.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_asc,0.5,960,655,18.05868123372396,17.71875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.01,20,20,0.1515625,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.03,58,58,0.1630208333333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.05,96,96,0.200390625,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.07,135,135,0.184765625,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.1,192,192,0.2022135416666666,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.12,231,231,0.1861979166666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.15,288,288,0.1983072916666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.158854,305,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.2,384,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.3,576,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_desc,0.5,960,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.01,20,20,0.1337239583333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.03,58,58,0.1416666666666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.05,96,96,0.1384114583333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.07,135,135,0.1518229166666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.1,192,192,0.15625,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.12,231,231,0.1697916666666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.15,288,288,0.2145833333333333,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.158854,305,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.2,384,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.3,576,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hilp_imp_asc,0.5,960,305,0.2203125,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.01,20,20,0.6829427083333334,0.5,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.03,58,58,2.895703125,2.375,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.05,96,96,5.840169270833333,5.75,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.07,135,135,9.625325520833334,10.0,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.1,192,192,9.5609375,9.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.12,231,231,10.705208333333331,11.0,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.15,288,288,11.737890625,11.625,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.158854,305,305,11.982486979166667,11.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.2,384,305,11.982486979166667,11.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.3,576,305,11.982486979166667,11.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,C_imp_asc,0.5,960,305,11.982486979166667,11.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.01,20,20,0.1303385416666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.03,58,58,0.134375,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.05,96,96,0.1333333333333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.07,135,135,0.137890625,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.1,192,192,0.1380208333333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.12,231,231,0.140625,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.15,288,288,0.1408854166666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.158854,305,305,0.13828125,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.2,384,384,0.1428385416666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.3,576,576,0.15859375,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,D_imp_asc,0.5,960,655,0.1575520833333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.01,20,20,0.1290364583333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.03,58,58,0.1381510416666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.05,96,96,0.1286458333333333,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.07,135,135,0.1311197916666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.1,192,192,0.134765625,0.125,960,20,80,655,305,305,655
