model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
gemma-3-27b-it,43,diag_rank_asc,0.01,20,20,0.19140625,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.03,60,60,0.1919270833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.05,100,100,0.2028645833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.07,139,139,0.1981770833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.1,199,199,0.22734375,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.12,239,239,0.2580729166666666,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.15,298,298,0.3544270833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.2,397,397,0.6825520833333333,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.201109,400,400,0.9815104166666668,0.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.3,596,596,3.845572916666667,2.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,diag_rank_asc,0.5,992,943,12.562239583333334,12.3125,960,20,80,544,399,399,544
gemma-3-27b-it,44,hihp_imp_desc,0.01,20,20,0.4,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.03,60,60,1.7309895833333333,1.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.05,100,100,3.1125,2.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.07,139,139,5.045572916666667,2.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.1,199,199,8.630794270833333,8.5625,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.12,239,239,10.284375,10.375,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.15,298,298,9.8353515625,9.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.2,397,397,10.7083984375,10.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.201613,401,401,11.593033854166666,12.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.3,596,543,14.269270833333334,14.625,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_desc,0.5,992,543,14.269270833333334,14.625,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.01,20,20,1.0708333333333333,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.03,60,60,0.85078125,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.05,100,100,1.0541666666666667,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.07,139,139,1.0869791666666666,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.1,199,199,1.3643229166666666,1.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.12,239,239,1.5653645833333334,1.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.15,298,298,1.6110677083333331,1.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.2,397,397,4.6484375,3.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.201613,401,401,4.43203125,3.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.3,596,543,14.269270833333334,14.625,960,20,80,543,400,400,543
gemma-3-27b-it,44,hihp_imp_asc,0.5,992,543,14.269270833333334,14.625,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.01,20,20,0.2119791666666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.03,60,60,0.23671875,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.05,100,100,0.2575520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.07,139,139,0.3203125,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.1,199,199,0.3559895833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.12,239,239,0.32421875,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.15,298,298,0.3528645833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.2,397,397,0.4169270833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.201613,401,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.3,596,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_desc,0.5,992,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.01,20,20,0.24375,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.03,60,60,0.25234375,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.05,100,100,0.27578125,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.07,139,139,0.3213541666666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.1,199,199,0.3567708333333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.12,239,239,0.3760416666666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.15,298,298,0.3885416666666667,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.2,397,397,0.4359375,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.201613,401,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.3,596,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,hilp_imp_asc,0.5,992,400,0.4325520833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.01,20,20,0.23515625,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.03,60,60,1.4463541666666666,1.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.05,100,100,3.30859375,2.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.07,139,139,3.30625,2.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.1,199,199,6.496875,5.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.12,239,239,7.142708333333333,5.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.15,298,298,8.147916666666667,6.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.2,397,397,11.507194010416669,11.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.201613,401,400,11.511393229166666,11.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.3,596,400,11.511393229166666,11.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,C_imp_asc,0.5,992,400,11.511393229166666,11.0,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.01,20,20,0.1919270833333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.03,60,60,0.1895833333333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.05,100,100,0.2213541666666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.07,139,139,0.3005208333333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.1,199,199,0.35625,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.12,239,239,0.3815104166666667,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.15,298,298,0.4018229166666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.2,397,397,0.49609375,0.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.201613,401,401,0.4924479166666666,0.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.3,596,543,0.6971354166666667,0.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,D_imp_asc,0.5,992,543,0.6971354166666667,0.5,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.01,20,20,0.1875,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.03,60,60,0.1958333333333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.05,100,100,0.1953125,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.07,139,139,0.1973958333333333,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.1,199,199,0.21015625,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.12,239,239,0.2549479166666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.15,298,298,0.4893229166666666,0.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.2,397,397,1.048046875,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.201613,401,401,1.0484375,0.75,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.3,596,596,3.324348958333333,2.25,960,20,80,543,400,400,543
gemma-3-27b-it,44,diag_rank_asc,0.5,992,943,12.282682291666667,11.875,960,20,80,543,400,400,543
gemma-3-27b-it,45,hihp_imp_desc,0.01,20,20,0.4174479166666666,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.03,60,60,1.58125,1.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.05,100,100,3.0404947916666667,2.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.07,139,139,5.265494791666667,2.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.1,199,199,8.804166666666667,9.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.12,239,239,9.478841145833334,9.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.15,298,298,11.33671875,11.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.2,397,397,11.568815104166667,10.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.208165,413,413,11.8099609375,10.875,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.3,596,530,13.503971354166667,13.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_desc,0.5,992,530,13.503971354166667,13.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.01,20,20,0.5473958333333333,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.03,60,60,0.6815104166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.05,100,100,0.9127604166666666,0.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.07,139,139,0.9635416666666666,0.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.1,199,199,1.31328125,1.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.12,239,239,1.43515625,1.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.15,298,298,1.8875,1.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.2,397,397,5.233854166666666,4.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.208165,413,413,5.91015625,5.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.3,596,530,13.503971354166667,13.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hihp_imp_asc,0.5,992,530,13.503971354166667,13.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.01,20,20,0.2197916666666666,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.03,60,60,0.25234375,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.05,100,100,0.2494791666666666,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.07,139,139,0.3479166666666666,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.1,199,199,0.409375,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.12,239,239,0.446875,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.15,298,298,0.4497395833333333,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.2,397,397,0.5783854166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.208165,413,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.3,596,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_desc,0.5,992,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.01,20,20,0.2184895833333333,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.03,60,60,0.31328125,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.05,100,100,0.3044270833333333,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.07,139,139,0.3927083333333333,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.1,199,199,0.4200520833333333,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.12,239,239,0.4739583333333333,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.15,298,298,0.4588541666666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.2,397,397,0.5309895833333333,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.208165,413,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.3,596,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,hilp_imp_asc,0.5,992,413,0.5705729166666667,0.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.01,20,20,0.19296875,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.03,60,60,1.565625,1.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.05,100,100,3.683463541666667,2.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.07,139,139,3.566015625,2.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.1,199,199,6.3369140625,5.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.12,239,239,6.3978515625,4.75,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.15,298,298,7.283268229166667,5.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.2,397,397,12.35849609375,12.0,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.208165,413,413,12.844205729166667,12.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.3,596,413,12.844205729166667,12.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,C_imp_asc,0.5,992,413,12.844205729166667,12.5,960,20,80,530,413,413,529
gemma-3-27b-it,45,D_imp_asc,0.01,20,20,0.19453125,0.25,960,20,80,530,413,413,529
gemma-3-27b-it,45,D_imp_asc,0.03,60,60,0.1927083333333333,0.25,960,20,80,530,413,413,529
